"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Dominica","Grenada","St. Lucia","St. Vincent and the Grenadines","Antigua & Barbuda","St. Kitts and Nevis","Mexico","Belize","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Liechtenstein","Switzerland","Spain","Portugal","Germany","Poland","Austria","Hungary","Czechoslovakia","Italy","San Marino","Malta","Albania","Croatia","Yugoslavia","Bosnia and Herzegovina","Slovenia","Greece","Cyprus","Bulgaria","Moldova","Romania","Russia","Estonia","Latvia","Lithuania","Ukraine","Belarus","Armenia","Georgia","Azerbaijan","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Djibouti","Ethiopia","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Namibia","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","Turkmenistan","Tajikistan","Kyrgyzstan","Uzbekistan","Kazakhstan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Brunei","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Vanuatu","Solomon Islands","Fiji","Marshall Islands","Federated States of Micronesia","Samoa"
"Grenada",18.29,2.1727,0,0,9.0005,0.187,1.5014,22.3702,3.2493,0.3243,0,0.403,1.6111,0.0481,0.1074,0,0.0001,9.0462,0,0,0,0.0147,0,0.0087,6.611,0.2324,0,9,0,1.0285,0.0003,0,0,0,0.003,4.5783,0.7186,1.1696,0.536,0.034,0.354,0,1.0564,0.1995,0.0223,26.1817,0.1694,0.0112,0,0.0022,1.0915,0,0.0004,0,0,0.0387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0034,0.0764,0.7023,0.9451,9,0,9,0,0,0,0,9,0.0083,0,0,0,0,0,9,9,0.0143,9.033,0,9,0,9,0,0,0,9,9,9,9,9,0,0,0,9,9,0.0348,0.363,9,0.3688,0,0,0,9,9.011,0,0,0,9,0.454,0,0,9,9,0,9,0,0,0,9,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0.0843,0,0.8909,9,0,3.6585,0.0201,9,9,0,0,0,9,0,0.5136,0,0,9,0.0204,9.1166,9,0,0,0.0562,0,0.8309,0,0,0,0,0,0
"St. Lucia",86.7677,10.4553,0.0629,0,0.039,0.6956,2.3865,27.5318,5.1013,2.0659,0.403,0,6.8621,1.1928,0.1573,1.272,0.1196,0.5398,1.799,0.0226,0,0.1183,0.4986,2.9755,1.3506,0.5635,0.0233,0.001,0.0047,2.4945,0.0124,9,0.0859,0.3204,0,51.0895,0.8297,3.2705,0.8839,0.0561,11.5325,0,1.686,0.16,0.0459,2.4872,0.0405,0.4127,0.052,0.026,8.6144,0,0.0007,0,0,0.0106,0,0,0.066,0.0086,0.0303,0,0.0723,9,0,9,0,0,0,0,0,0,0.213,0.535,0.2253,0.9083,0.0011,0,0,0,0,0,0.0007,0,9,0,0,0,0.0006,0,0,0,0,0,0.0006,0.0001,0,0,0,0.0001,0,0,0.0067,0,0,0,0.0115,0,0,0,0,0,0.0003,0.0021,0.0001,0,0,0,0.0029,2.1039,0,0,0,0.0006,0,0,0.003,0.0001,0.058,0.0386,0,0.0102,0,0,0.0083,0.0923,0.0044,9,0,0,0,0,0,0,0,0,0,0,0,2.3809,0,4.3963,0.216,2.1027,18.1322,0.404,0,0.0108,0.0088,0,0.0972,9,0,1.2553,0,0,0.0021,0.5816,0.6138,0,0.0263,0.3076,0.6694,0,1.2309,0,0,0,0,0,0
"St. Vincent and the Grenadines",43.4611,3.6828,0.0007,0.0015,0.1689,0.0289,0.3706,13.8985,1.1686,1.9841,1.6111,6.8621,0,3.2481,1.8307,0.0848,0.001,1.083,0.3033,0.0085,0,0.1178,0.15,0.6842,1.3285,0.9583,0.0011,0.0007,9,1.6311,0,0,0.0223,0.3059,0,24.1734,0.0922,2.0225,0.2445,0.0155,7.9349,0,0.2522,2.8993,0.0484,2.5383,0.3657,0.0129,0,0.144,14.9116,0,0,9,0,0,0,0,3.996,0,9,0,0,0,0,0,0,0,0,0,0,0,0.0045,2.4604,0.3074,0.8581,0.0022,0,0,9,0,0,0,9,0,0,0,0.1643,9,0,9,0,0,9.086,0,0,0,9,0,0,0,0,0,0,0,9,0,0,9,9,9,9,2.8458,0,9,0,0,9,0,0.0003,0,0,9,0,0,0,0,9,9,0,0,0,9,0,0,0,9,9,0,9,0,0,0,9,0,0,0,0,0,0.059,0,0,0,0,2.8453,0,9,0,0,0,0,0,0,0,0,0,0,0.0442,12.9186,0,0,0,6.9235,0,0.0459,0,9,9,0,0,0
"Antigua & Barbuda",62.1,6.9393,0.0223,0,0.0024,0.02,2.8342,0,2.9985,1.4574,0.0481,1.1928,3.2481,0,0,0,0.066,9,0,0,0,0.109,0,12.153,0,0.9486,0.0095,0,0,1.507,0.0033,9,0,0.199,9,24.6128,0.3088,1.3931,0.1975,0.0125,1.3688,0,1.0755,0.9492,0.1121,6.4288,0.0314,0.2191,0,0.033,2.8917,0,0,0,0,0.5856,0,0,1.562,0,9,0,0,9.1,0,0,0,0,0,0,0,0,0.236,0.7875,1.7861,0.6388,0,0,0,0,0,9,0,0,9,0,0,0.1154,0,0,0,9,0.003,9.0363,0,0.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0611,0,0,0,0,0,0,0.0008,0,0,0,0,0,0.136,0,0,0,0,0,0.001,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0.02,0,0,0.0128,0,0,0,0,0,0,0,0,0.1833,0,0,0.053,0,0.034,0,0.129,0,0,0,0,0,0
"St. Kitts and Nevis",22.51,1.85,0.0097,0,9.0011,0,1.8924,0,3.1065,0.7635,0.1074,0.1573,1.8307,0,0,0,0,0,0,0,9,0.0163,0,0.3118,0,0.313,0,0,0,23.9558,0,9,9,0,0.065,0.5789,0.0156,0.8565,0.0376,0.0024,1.6051,0,0.2538,0.1304,0.7767,2.6246,463.5664,0.0805,0,0.0506,0.2114,0,0,0,0,0,0,0,9.1397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2367,0.7448,0.4544,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0462,0,0.1757,0,0.0066,3.1363,0.0793,0,0,9,0,0,0,0,0,9,0,0,0.0154,0,0,0,9,0.0625,0,0.0429,0,0,0,0,0,0
"Mexico",12820.394,1270.574,15.3164,120.1904,4.8642,191.9302,112.9007,25.8716,0.8247,0.1185,0,1.272,0.0848,0,0,0,18.7836,58.1698,61.2266,93.3177,7.8598,107.822,18.0816,95.1187,47.949,1.3904,1.1653,2.6663,112.8743,838.3848,8.5355,6.4867,73.196,63.7811,12.8645,411.4264,184.8187,142.7833,56.0332,3.5568,734.629,0,514.5886,386.8854,129.3456,2156.8409,65.032,34.9966,4.6281,19.9562,910.5586,0,0.3634,0,0,5.4065,0,0,3.9598,0.7652,2.0219,0,0.6465,15,0,0,0,9,9.258,0,0,0,45.5784,332.8917,25.863,122.4994,0.6062,0,0,0,0,0,0,0.1271,0,0,0.0642,1.2156,0,0.1423,3.2956,0,0.276,0,0,0.0858,0,0.0006,0,0.4121,0,0,0.0457,0,0,0,0,0,0,0,0.4086,0.0086,0.6945,0,0,9,0,0,0,0.0467,0,0,0,26.1467,10.5324,4.0207,0.0726,0,18.7166,10.4426,0.0044,1.3275,0,3.3638,0.99,41.026,32.5971,0.0571,3.2093,0,0,0,0.2166,0,0,0,0,0,0,43.725,0,553.6727,0,506.1013,2101.3252,6.0576,0,6.2825,0.943,0,20.3278,0,0,52.9017,0,0,0,175.0182,68.4285,0,25.3066,60.2814,46.1655,0,159.363,0,0,0.148,0,0,0
"Belize",94.249,0.8238,0.0058,0,0.005,0.0839,3.4308,0.9619,0.079,0.059,0.0001,0.1196,0.001,0.066,0,18.7836,0,6.3426,0.132,2.285,0.09,1.5087,0.5891,0.1335,4.5029,0.0172,0.0031,0.001,0.0017,1.062,0.0114,0.009,0.0026,0.116,0.0681,32.9711,0.8753,8.3287,0.1316,0.0084,0.4134,0,0.7986,2.3741,0.165,1.5974,0.0021,0.7665,0.0002,0.0015,2.8948,0,0,0,0,0,0,0,0.0424,0,0,0,0.0585,9.1,0,0,0,0,0,0,0,0,0.057,0.112,0.0856,3.4948,0,0,0,0,0,0.0049,0,9,0,0,0,0.0004,9,0.0294,0.002,0,0.0044,0,0,0.0022,0,9,0,0,0,0,0.0306,0,0.0168,0,0,9,0,0.0025,0,0,0.0004,0.0003,0,0,0,0,0,0.0001,0,0,9,3.0071,0,0,0,9,0,0.0037,0,0,0,0.0001,0,0.0036,0,0.0029,0,0,0,0,0,0.0003,0,0,0,0,0,1.9232,0,4.591,0,0.616,2.9016,0.3541,0,0.0102,0,9.0002,0.0233,0,0,0.1968,0,0,0,0.235,0.445,9,0.087,0.209,0.0703,0,0.595,0,0,0.0378,0,0,9
"Guatemala",9.0382,13.5017,0.023,0.0088,6.6076,6.7555,6.512,0.1799,5.143,0.868,9.0462,0.5398,1.083,9,0,58.1698,6.3426,0,26.1461,57.108,64.6766,23.5679,6.542,23.8846,100.3633,0.035,4.0034,5.2346,1.3748,61.093,0.2083,0.2434,0.321,48.5047,0.2182,15.2224,4.9194,0.2675,23.1787,1.4713,1.8789,0,12.2918,10.8568,9.6908,36.219,1.1637,4.5354,0.0229,0.822,4.9237,0,0.1563,9.028,0,0.016,0,0,0.8947,0.1714,0.039,0,1.3964,4.608,0,9,0,0,13.016,0,0,0,8.8616,0.1341,2.0826,0.5763,0.0447,0,0,0,0,0,0,0.0007,0.1285,9,9,0,0,0,0,0,0,9,0,0,9,0,0,9,0,9,0,0,9,0,0.05,0,0,12.6652,9,0,0,0,4.8429,0,9,0,0,0.0125,0,0,0,0.34,0.297,0.0068,0.005,0.008,0.014,2.0726,9,4.565,0,0.085,0.963,7.047,27.8983,0.01,0,0.017,9.593,0.041,0.6974,9.011,0,0,0,0,0,2.1874,9,38.4953,2.0984,15.1606,109.9804,0.5945,9.012,0.4652,0.6805,9,5.6161,0,0,0.0534,0,0,0,4.774,0.1246,0,0.3848,0.3051,0.582,9,1.0387,0,9,0.016,0,0,0
"Honduras",303.8,10.203,0.02,0,0.0172,0.82,0.0776,0.0023,0.295,0,0,1.799,0.3033,0,0,61.2266,0.132,26.1461,0,0.506,11,18.625,15.9293,9.821,17.3449,0.0181,0.6762,0.8923,1.627,19.3956,0.0759,0.437,3.167,2.4,0.156,11.9019,0.1924,9.2756,11.989,0.761,5.9072,0,13.1562,33.3534,7.8601,88.9279,1.1085,11.9455,0.313,11.0881,23.6179,0,0.0121,0.001,0,0,0,0,0.562,0.2402,0,0,0.61,0.49,0,0,0,0,9.018,0,0,0,8.4934,15.6414,5.5366,1.8932,0.0799,0,0,0,0,0,9,0,0,0,0,0.7638,0,9,0,9,0.039,0.256,0,0,0,9,0,0,0,9,0,9,9,0,0,0,9,0,9,0,0.2829,0,0.124,0,0,0,0,0.0439,0,0,0,3.321,0.281,0.682,0,0,6.187,0.052,0,0.165,0.023,0,0.048,0.107,2.2342,0,0,0,9,0,0.1629,0,0,0,0,0,0,2.366,2.075,11.191,2.378,15.084,31.5468,0.6263,0,0.0094,0.057,0,0.343,0,0,0.2291,0,0,9,0.0166,4.5902,9,0.01,0.0311,0.0481,9,0.356,0,9,0,0,0,9
"El Salvador",278.187,3.5992,0,0,0.0979,4.9784,0,0.3403,0,0,0,0.0226,0.0085,0,0,93.3177,2.285,57.108,0.506,0,34.108,0.79,51.5789,7.398,87.5456,0,0,11.564,1.1246,25.2921,0.002,1.1014,0.239,6.788,0.328,5.4174,1.563,9.038,7.6353,0.4847,0.2606,0,10.005,9.6696,0.4208,26.6307,1.5336,6.5479,2.694,1.4848,11.0379,0,0,0,0,0,0,0,0.014,0.0044,11.979,0,0.7,9.9,0,0,0,0,9.043,0,0,0,1.6685,5.9859,1.5293,4.7371,0,0,0,0,0,0,0,1.8458,1.5943,0,9,0.0003,0,9.0027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,1.492,0,0,0,0,0,0,0,9,0.183,0,0,0,0,0,0,0,0.015,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,8.797,0,20.566,0,19.2,82.9172,0.188,0,0.3556,9,0,0.33,0,0,1.1214,0,0,9,1.5571,1.41,0,0.077,0,0.2705,0,15.295,9,0,0,0,0,9
"Nicaragua",159.1,21.4283,0,2.1505,0.0002,0.1697,0.1287,0.3759,0,0,0,0,0,0,9,7.8598,0.09,64.6766,11,34.108,0,41.872,39.7878,9.472,100.5099,0,0.0106,0.1555,0.0262,7.0364,0.0124,0,1.5,4.2,0.012,1.9515,4.215,1.9611,1.655,0.1051,0.3713,0,0.1532,0.317,0.9417,32.5621,0.5485,3.384,0,4.4787,4.2075,0,0,0,0,0,0,0,24.4717,0.0356,2.0282,0,0,1.7,0,0,9,9,0.018,0,0,9,7.0398,2.1927,3.2104,1.2246,0,0,0,0,0,0,9,0,0.0026,0,0,0,9,9,9,0,0,0,0,0,9,0,9,0,0,9,9,0,9,0,0,0,0,9,0,0,0.0086,9,0,0,0,0,0,0,9,0,9,0.064,0.411,0,0,0,0,0,9,0.001,0,0,0,0.7,0,9,9,0,0,0,0,0,0,0,0,0,9,25.084,0,0,1.1982,10.8,30.8796,0.5392,9,0.0261,9.0026,0,0,0,0,0.0158,0,9,0,0.0455,0,0,0.051,0.2924,0.0436,9,0.023,0,0,0.023,0,0,9
"Costa Rica",155.918,93.8869,0.359,0.7079,0.7216,11.2319,5.5773,6.5414,0.4774,0.333,0.0147,0.1183,0.1178,0.109,0.0163,107.822,1.5087,23.5679,18.625,0.79,41.872,0,32.8872,52.565,106.9131,0.0101,0.1563,11.7707,6.5054,97.29,0.1062,0.1028,14.05,4.921,0.751,2.2337,2.3076,29.9022,6.4693,0.4106,4.1824,0,1.9432,12.7615,11.708,115.2651,11.8908,21.666,3.653,12.0512,110.6044,0,0.2448,0,0,0.485,0,0,4.6207,0.0222,0,0,0.749,3.036,0,0,0,9,0,0,0,0,9.3102,11.6239,11.4385,4.0037,0.7741,0,9,9,9,9,0,0.0122,9,0,0.0076,0.081,0,0,0,0,0.011,9,0.433,0.0134,9,0,9,0,0,9,0,0,0,0,0,9,0,0,3.5,0,0.1186,9,0.34,0,9,0,0,0.0005,0,0,0,0.592,2.128,0,0,0,0,0.2,0,0,0.315,0.5764,0.253,4.38,1.3877,0,0,0.3652,0.311,0,3.1005,9,0,0,0,0,0,10.063,9,46.446,0.1227,52.997,144.1374,0.7341,0,0.1052,0,0,0.165,9,0,0.3363,9,0.0009,9,1.8609,4.392,9,0.212,0.843,0.042,0,0.063,9,9,0,0,0,9
"Panama",475.578,9.6329,0.0004,1.0559,0.0194,0.8615,0.3634,8.7064,0.342,0,0,0.4986,0.15,0,0,18.0816,0.5891,6.542,15.9293,51.5789,39.7878,32.8872,0,90.4258,174.2258,0.0093,3.6045,93.6155,63.3676,50.9075,11.7885,17.9334,4.4881,149.9272,15.3096,5.0023,5.6601,7.0278,24.0344,1.5256,5.7316,0,113.377,30.9678,9.3942,158.0772,1.3745,10.6977,0.077,1.8192,108.7184,0,0.1811,9,0,0.1282,0,0,25.6277,0.1793,0.0162,0,0.5557,152.1,9,0.3133,0,0,9.049,0,0,0,22.071,42.6042,92.1333,4.3941,2.3687,0,0,9,9,9,0,0.0506,0,0,0.0227,3.363,0,9.147,9,0,0.15,0,0,0.4932,0,0,0,0,0,0,0,9,9,0,9,0,0,0,0,0,0.0354,0,5.1781,0,0,0,0,0.3441,0,0,9,5.037,0.827,0,0,0,0.6012,0.2138,0,2.181,0,0.0203,0.0505,5.3576,0.9162,0,0,0,9,0,0,0,0,0,0,0,0,1.3754,0,27.4243,0,328.6396,32.3649,0.3272,0,0.3074,0.1078,9,0.3496,9.009,0,33.2554,0.0268,9.0284,0,41.3551,68.106,0,0.0752,0.6316,11.4516,0,0.6563,9,0,0,0,0,9
"Colombia",492.553,60.7776,5.9151,12.9194,1.0979,39.3624,21.4515,18.2289,1.566,0.039,0.0087,2.9755,0.6842,12.153,0.3118,95.1187,0.1335,23.8846,9.821,7.398,9.472,52.565,90.4258,0,87.2133,0.3114,1.6023,2.6343,242.4617,208.4831,44.1046,0.132,27.727,101.293,25.406,70.0255,56.8168,86.8322,9.516,0.604,4.5059,0,91.8451,79.3344,37.8912,386.8805,21.2384,24.6787,13.272,21.9011,61.2072,0,0.1329,0.0627,0,0.6301,0,0,2.1299,0.3676,1.506,0,3.807,1.131,0,0,0,0.004,1.353,0,9,0.017,55.3315,12.8668,18.3144,86.4363,0.4986,0,0.0076,0.025,0,0.0082,0.022,0.772,0.027,0,0.034,0.033,0.0627,0.0671,0.204,0.014,0.056,0.5238,0.12,13.6435,0.1793,0.0033,0,0.0151,0.536,0.0136,0.137,0,0.011,0.02,0,0,0,0.008,0.005,0.0253,0.035,0,9.798,0,0,0.023,0.006,0.02,0,0.026,0,7.207,1.953,0.73,0.1936,0.1309,2.481,0.08,0.006,0.168,0.189,0.458,0.523,10.13,36.3437,0.9247,0.31,0.037,0,0.447,0,0.0264,0,0,9,0,0,13.533,0.015,32.824,1.6501,5.525,267.9286,18.3673,0.016,3.0704,2.689,0.0627,1.213,0,0,4.5186,0,0.0121,0.711,0.62,12.8565,0.026,0.373,0.476,3.7488,0.0253,1.064,2.2544,0.011,0.014,0,0,0
"Venezuela",2142.8975,1.7252,0,65.4423,4.4,140.9661,37.6662,105.5476,21.8616,0.3155,6.611,1.3506,1.3285,0,0,47.949,4.5029,100.3633,17.3449,87.5456,100.5099,106.9131,174.2258,87.2133,0,0,9.8031,26.2612,26.4374,221.6973,2.1882,2.4981,55.7432,222.6373,13.6148,1.8688,11.1855,116.9253,92.1035,5.8464,103.8808,0,101.5027,175.9811,33.5396,104.8505,9.1927,11.4082,0.649,1.2023,562.9911,0,1.8061,0,0,0.3256,0,0,1.3693,0.1646,1.1913,0,2.379,22.1,0,0,0,0,14.549,0,0,0,23.4661,8.064,7.3858,34.5346,0.0011,0,0,0,0,0,0,4.8929,0,0,0,14.1059,0.0044,0.0372,0,0,3.433,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0.4123,0,0,0,0,0,0,0.7092,0,0,0,4.1597,5.116,4.6923,3.2571,0,4.8543,2.8573,0.0286,4.2218,0.1276,0.308,0.302,11.5251,8.663,0,0,0,0,0,0.0001,0,0,0,0,0,0,2.4284,0,113.4926,19.107,69.5466,425.6726,5.8421,0,3.2999,0.0718,0,1.6207,0,0,6.7901,0,0,0.0253,12.6857,91.482,0,1.1704,4.4533,9.6602,0,35.5843,0,0,0,0,0,9
"Guyana",6.8,29.9231,0.0321,4.3791,0,0.0213,1.3216,39.3726,1.8081,0.2269,0.2324,0.5635,0.9583,0.9486,0.313,1.3904,0.0172,0.035,0.0181,0,0,0.0101,0.0093,0.3114,0,0,3.3651,0,0.0649,3.3088,0,0,0.78,0.3124,0,93.9034,1.0552,1.2123,4.7768,0.3032,19.7145,0,0.2672,1.1728,0.557,1.7258,0.0264,2.9769,0,0.0242,23.0817,0,0,0,0,0.7555,0,0,0.003,0,2.0053,0,0,1.5,0,9,0,0,0,0,0,0,7.6762,0.8909,0.1924,0.8669,0,0,0,0,0,0,9,0,0.0642,9,0,0,0,9.0006,0,0,0.0765,9.0099,0,0.9504,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0.1318,0,0,0,0,0,0,0,0.3588,0,0,0,0.0016,0,0,0,0.1023,0,0,0,0.11,1.9818,0,0,0,0,0,0,9,0,0,0,0,0,5.4054,0,2.871,1.5426,4.32,2.6032,1.087,0,0.2737,0,0,0,0,0,0.7588,0,0,0,7.0315,0,0,0.2508,0.4085,0.852,0.0014,1.5437,0,0,0.008,0,0,0
"Suriname",172.8792,4.195,0.0062,0,0,1.585,3.5714,59.6296,0.3508,0.0196,0,0.0233,0.0011,0.0095,0,1.1653,0.0031,4.0034,0.6762,0,0.0106,0.1563,3.6045,1.6023,9.8031,3.3651,0,0,0.0359,26.0759,0,0,0.2773,0.2202,0.118,13.5573,0.075,92.4213,3.5074,0.2226,84.016,0,0.5749,5.1893,5.5193,28.7405,0.1736,0.1601,0.0084,0.0659,2.0966,0,0,0.0017,0,0.0773,0,0,0,0.1003,0.0022,0,0,0,0,9,0,0,9,0,9,0,0.3505,0.0829,91.7532,0.1345,0.0018,0,0,0,0,0,0,0,0,0,0,0.023,0,9,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0.0065,0,0,0,0,9.0056,0,0,0,0,0,0.0009,0,0,9,0,0,0.088,9,0,9,0.0039,0,0,0,0,0,0,9,0.0011,0,0,0,0,0,0,0,2.0158,9,3.0768,0.0683,2.5737,4.9089,0.3905,9,0.023,0.0269,0,0,9,0,0.9204,9,0,0,0.0347,0.7961,9,0,1.234,0.0006,0,0.0006,0,0,0.006,0,0,0
"Ecuador",669.591,51.1352,0,0,0.0205,0.005,0,9.9145,0.008,0,9,0.001,0.0007,0,0,2.6663,0.001,5.2346,0.8923,11.564,0.1555,11.7707,93.6155,2.6343,26.2612,0,0,0,88.7176,97.9971,5.4031,6.8777,103.7172,36.1514,1.9289,2.3196,8.9721,1.0766,6.7608,0.4292,0.9681,0,34.7,9.9331,11.5861,154.8115,25.5168,16.8445,3.3917,13.6941,14.1866,0,1.8997,0,0,0.0097,0,0,8.7937,0.1045,0.2794,0,0.1856,13.9,0,0.0045,0,0,9.877,0,0,0,10.5773,3.091,4.1445,1.9932,0.0256,0,0,0,0,0,0,0.0068,0,0,0,0,0,0.0004,0,0,0.025,0,0,0,0,9,0,0,9,9,0,9,9,9,9,0,0,0,9,0,0.2159,9,10.5348,0,0,0,0,0,0,0,0,0.337,0.309,1.871,0.9142,0,0,0,0,0.045,0,0,0,15,8.6708,0,0,0,9,0,0,0,0,0,0,0,0,0.8057,9,18.3258,9,362.4,199.5708,0.5675,0,0.7436,9.0256,0,1.116,0,9,1.2485,0,0,9,2.2486,1.0674,0,0.007,2.4206,1.7739,0,23.7849,9,9,0.001,0,0,0
"Peru",341.0911,15.2839,0.0858,0.2992,0.0128,1.5268,0.1309,2.1467,0.3911,0.0162,0,0.0047,9,0,0,112.8743,0.0017,1.3748,1.627,1.1246,0.0262,6.5054,63.3676,242.4617,26.4374,0.0649,0.0359,88.7176,0,39.4295,7.8871,26.5661,121.5388,166.4224,14.5331,93.1848,7.5828,36.7161,11.2179,0.7121,74.8732,0,39.6613,29.4943,15.3282,12.1333,1.298,7.8451,9.8204,10.8218,150.6649,0,0.0366,0,0,16.2877,0,0,0.1036,0.3757,13.9814,0,3.6731,6.4,0,0,0,0,0.153,0,0,0,1.629,43.0033,6.2533,8.2637,0.005,0,0,0,0,0,2.3628,1.9509,0,0.0055,0.0011,0.024,0,0.5378,0,0.0055,0.252,0,1.6766,0.99,0,0,0.1419,0,0.2299,0.0363,0,0,0.156,0,0,0,0,0,0,0,0.0744,0,8.947,0,0,0.0022,0,0.226,0,0,0,2.333,23.7817,0.17,0.0297,0.0649,33.9371,3.9612,0,0.0461,1.3505,0.3784,0.2468,4.1147,1.4343,0,0.131,0,0.0022,0.5321,0,0,0,0,0,0,0,294.84,0,48.4814,0.0726,38.0955,19.9807,0.1561,9,0.6707,0.2868,2.1967,2.2055,0,0,33.6147,0,0,26.3879,31.7596,11.4348,0,11.1381,0.0828,0.1564,0.2695,30.7794,0.0022,0,0.0055,0,0,0.033
"Brazil",2599.0942,130.7715,2.1626,3.4463,1.1517,66.1342,17.754,30.8032,6.5362,0.6407,1.0285,2.4945,1.6311,1.507,23.9558,838.3848,1.062,61.093,19.3956,25.2921,7.0364,97.29,50.9075,208.4831,221.6973,3.3088,26.0759,97.9971,39.4295,0,145.1379,83.424,470.0159,1445.037,100.0179,1116.2822,30.3711,589.1228,417.5363,26.5037,1021.05,0,258.031,812.0343,323.5788,1363.2507,72.9036,100.0229,89.5142,65.8086,939.4193,0,5.4138,0,0,24.3969,0,0,110.633,10.9889,10.2997,0.4,31.3382,52.4,0,0.1694,9.1056,3.4441,14.667,0.033,0,0.7406,42.9613,24.3522,7.3495,120.4233,1.3623,0,0,0.121,0.0341,1.441,0.9504,16.3144,4.288,2.0702,0.9747,41.0922,14.8654,5.2096,58.6344,3.6322,20.6793,11.2277,11.3156,305.481,3.7323,0.4892,0.3245,2.3044,7.6164,0.5423,26.4682,5.1689,0.691,0.41,4.0425,0.0055,0.257,29.9277,1.4,0.2261,23.96,0.7535,98.2642,1.581,0.038,3.362,0,1.7064,0.0396,9.7666,0.2453,116.9219,288.2704,37.7975,29.7374,2.2902,656.5632,186.4962,0,130.5112,26.201,53.3687,26.7639,9.1236,1296.5949,54.2476,34.1771,31.306,60.93,29.3354,17.464,0.0176,0,0,0,0,0,464.7776,0,431.5319,2.838,652.6142,1583.8661,199.1717,0,93.0028,15.9995,0,13.3599,0.001,5.6089,443.3595,0.1166,0.0044,8.037,225.2111,146.2841,0.039,174.9382,163.8073,70.2817,1.5697,24.6837,0.0275,0,0.805,0,0,0
"Bolivia",104.2022,5.4244,0,0.4307,0,0.0248,0.002,0.0037,0.0209,0.0357,0.0003,0.0124,0,0.0033,0,8.5355,0.0114,0.2083,0.0759,0.002,0.0124,0.1062,11.7885,44.1046,2.1882,0,0,5.4031,7.8871,145.1379,0,0.391,61.2914,42.3067,2.2805,8.9513,1.2681,3.3589,3.592,0.228,39.129,0,6.4819,14.1565,0.5698,63.8414,0.201,0.8447,0.0443,0.5472,26.2132,0,0.052,12.7054,0,0.0671,0,0,0.0146,0.0479,9.8683,0.0155,0.1528,2.0437,0,0,9,9,9,9,9,9,1.5755,25.2128,0.3032,5.9597,0.0514,0,9.0704,9,0.0177,9,9,0,0.0145,9,9,0.0003,0.0007,9,0,0,0.0108,9,0.0018,0.0012,0,0.0011,9,0.0094,9,9.0161,0.0329,0.0044,0.0175,0,0,9,0.0015,0.0038,0,0,0.0001,9,1.0621,9,0,0.0196,9,9.0016,9,9,9,0.591,9.4285,0,0,0,0.2431,0.0435,0,0.0025,0.1405,0.0058,0.044,0.1833,0.2315,0.0084,0.0284,9,0.1161,0.0096,0.146,9.0119,0,9,0,0,0,7.5104,9,7.5538,0.025,8.9805,131.9143,0.8066,9.0886,0.0343,0.1152,0.0405,0.2243,0,0.0005,0.0814,9,9,0.087,17.6174,0.0892,9.0047,0.0469,0.1039,0.683,0,0.4625,9,9,9,0,0,9
