"","United States of America","Haiti","Dominican Republic","Mexico","Guatemala","El Salvador","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Netherlands","Belgium","France","Switzerland","Spain","Portugal","Germany","Austria-Hungary","Italy","Yugoslavia","Greece","Romania","Russia","Sweden","Denmark","Morocco","Iran","Turkey","China","Korea","Japan","Thailand"
"Brazil",14.22,0,0,0,0,0,0,0,0,0,0,0,0,0.039999999,5.4299998,7.1300001,35.720001,0,4.21,14.71,0,0,0,0,0.88,2.8399999,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bolivia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraguay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chile",3.4200001,0,0,0,0,0,0,0,0,1.63,0.11,0,0,0,1.88,0,15.83,0,1.48,0.60000002,0,0,0,6.3200002,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",5.4899998,0,0,0,0,0,0,0,0,0,2.75,0,0,0.02,0,4.2199998,26.09,0,2.76,8.3199997,0,1.92,0,7.3800001,0,6.4000001,0,0,0,0,0,0,0,0,0,0,0,0,0
"Uruguay",1.8200001,0,0,0,0,0,0,0,0,0,2.29,0,0,0,2.3199999,0,6.5700002,0,1.41,2.46,0,3.1400001,0,3.0699999,0,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0
"United Kingdom",422.17999,0.25,0,2.27,0,0,2.1199999,0.25999999,0.56999999,6.6799998,17.629999,0,0,16.76,44.310001,2.24,0,138.63,85.580002,231.56,25.139999,55.189999,12.15,131.67,5.9499998,15.28,0,6.0500002,10.33,120.66,42.849998,47.799999,2,0.85000002,28.049999,16.309999,0,5.5700002,0.76999998
"Netherlands",38.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.970001,0,31.809999,7.2600002,0.76999998,0,0,58.240002,3.3800001,0,0,0.60000002,0,30.370001,5.02,0.079999998,0,0,0,0,0,0.22,0
"Belgium",26.389999,0,0,0,0,0,0,0,0,7.0799999,7.9299998,0,0,5.4499998,17.870001,4.52,35.73,33.66,0,57.810001,0.82999998,3.9200001,0,38.400002,3.02,3.8199999,0,1.51,19.309999,22.540001,8.8900003,0,0,0,0,0,0,0.1,0
"France",45.349998,0,0,1.0700001,0,0,0,0,0,0,0,0,0,0.73000002,34.860001,6.04,67.650002,6.1300001,54.790001,0,14.5,41.25,0.75,60.029999,12.33,22.27,0,1.54,1.16,37.759998,6.9099998,0.25,1.62,0,17.370001,0,0,17.84,0
"Switzerland",0.029999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1599998,0.69999999,6.5700002,31.559999,0,0,0,52.040001,14.05,34.810001,0,0,0,11.94,0,0,0,0,0,0,0,0.37,0
"Spain",11.45,0,0,0.41999999,0,0,0,0,0,0,0,0,0,0,2.6900001,0.30000001,17.74,0,4.2199998,21.1,0,0,7.7199998,7.4000001,0,2.1300001,0,0,0,5.27,5.9400001,0,1.62,0,1.14,0,0,0,0
"Portugal",7.3499999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1199999,0,0,4.3200002,0,6.6100001,0,3.0999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany",96.360001,0,0,1.53,0,0,0,0,0,0,0,0,0,3.53,8.7200003,1.73,100.39,39.040001,59.919998,64.68,34.330002,6.79,3.21,0,155.45,34.669998,0,0.98000002,5.02,92,18.59,17.49,0.56,0,1.8200001,0,0,2.7,0
"Austria-Hungary",2.3699999,0,0,0,0,0,0,0,0,0,6.9299998,0,0,0,0,0,8.3599997,2.28,2.6800001,5.2399998,4.3099999,0,0,52.509998,0,9.6300001,7.54,2.0699999,2.8099999,9.5,0,0,0,0,3.1400001,0,0,0.36000001,0
"Italy",19.040001,0,0,0,0,0,0,0,0,0,1.26,0,0,0.059999999,4.6100001,0.72000003,27.049999,2.05,4.8800001,25.950001,8.2600002,2.04,0,19.809999,25.24,0,0,1.3200001,0,16.629999,0,0,0,0,0,0,0,2.8699999,0
"Yugoslavia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Greece",0.70999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9300001,0.090000004,0.27000001,1.3099999,0,0,0,1.63,1.5700001,0.47,0,0,0,3.46,0,0,0,0,1.9400001,0,0,0,0
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3499999,0,1.74,5.02,0,0,0,15.66,10.1,0,0,0,0,5.04,0,0,0,0,0,0,0,0,0
"Russia",7.3699999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.16,2.5899999,7.4899998,11.57,4.2199998,0.40000001,0,90.139999,12.36,6,0,0.94999999,1.21,0,3.75,0.91000003,0,0,3.49,21.290001,0,1.0700001,0
"Sweden",5.0100002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.73,2.28,2.98,2.1700001,0,0.23999999,0,28.26,0,0,0,0,0,5.3899999,0,7.71,0,0,0,0,0,0,0
"Denmark",2.6900001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.16,2.5,1.7,1.86,0,0,0,32.580002,0,0,0,0,0,5.4000001,14.05,0,0,0,0,0,0,0,0
"Morocco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1099999,0,0.34,2.21,0,0.28999999,0,0.73000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iran",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8099999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Turkey",0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.08,0,0,10.41,0,0,0,1.02,7.9200001,0,0,1.92,0,6.9299998,0,0,0,0,0,0,0,0,0
"China",6.9200001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.620001,0,0,0,0,0,0,0,0,0,0,0,0,2.55,0,0,0,0,0,0,0,7.4000001,0
"Korea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0999999,0
"Japan",7.6399999,0,0,3.05,0,0,0,0,0,0,0,0,0,0,0,0,22.620001,0.039999999,1.67,4.1999998,0.83999997,0,0,9.9200001,0.02,0.12,0,0,0,1.45,0,0,0,0,0,18.639999,2.3699999,0,0
"Thailand",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
