"","United States of America","Cuba","Haiti","Dominican Republic","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Netherlands","Belgium","France","Switzerland","Spain","Portugal","Germany","Austria-Hungary","Italy","Yugoslavia","Greece","Bulgaria","Romania","Russia","Sweden","Norway","Denmark","Ethiopia","Morocco","Iran","Turkey","China","Japan","Thailand"
"Colombia",3.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3400002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Venezuela",3.1700001,0.0020373999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3900001,0.56999999,0,0.66000003,0,0.52999997,0,2.0899999,0,0.34999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ecuador",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1400001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peru",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0,0,6.5300002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brazil",22.889999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.32,0,41.580002,0,6.6700001,0,0,0,0,21.860001,1.41,3.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bolivia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3099999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraguay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chile",9.7200003,0,0,0,0,0,0,0,0,0,0,0,0,4.7800002,0,0,0,0,6.6700001,0,32.150002,0,2.77,5.71,0,0,0,22.84,0,2.6500001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",44.25,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0200005,0,0,0.80000001,0,0,97.389999,0,13.32,30.24,0,9.1499996,0,43.740002,0,26.379999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Uruguay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.49,0,0,0,0,0,0,5.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"United Kingdom",581.02002,6.3400002,1.64,0,10.83,0,0,0,0,0,3.75,1.83,2.6800001,14.93,55.419998,0,0,27.040001,160.61,6.3699999,0,82.620003,86.75,217.00999,35.360001,65.980003,14.1,283.67001,39.689999,30.75,0,7.8499999,1.62,14.34,186.39999,47.740002,31.77,92.129997,0.0099999998,5.5599999,1.46,24.99,23.9,18.16,2.6500001
"Netherlands",117.17,0,0,0,0,0,0,0,0,0,0,1.08,0,0,0,0,0,3.3800001,0,0,118.14,0,116.89,11.57,1.62,0,0,277.25,5.25,0,0,1.5700001,0,0,224.83,3.73,2.26,0.55000001,0,0,0,0,0,0.31999999,0
"Belgium",53.650002,0,0,0,3.75,0,0,0,0,0,0,0,0,0,7.6399999,0,0,10.84,61.970001,0,88.5,54.779999,0,108.97,2.55,8.8699999,0,95.790001,3.04,7.46,1.9400001,1.35,3.79,21.799999,63.130001,5.5100002,6.1100001,0.51999998,0,0.02,0.0064711999,0,3.7,0.94999999,0
"France",0.14,1.38,0,0,6.0300002,0,0,0,0,0,0,5.1700001,0,0,0,0,0,5.75,0.050000001,0,0.17,7.6199999,0.079999998,0,23.459999,0.029999999,0,0.12,14.01,38.330002,0.47,1.49,0.99000001,5.3499999,0.050000001,9.8999996,3.3499999,0.27000001,0,3.0899999,0.69999999,0,0.029999999,20.6,0
"Switzerland",0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.639999,3.27,6.7600002,59.57,0,0,0,104.27,19.860001,36.029999,0.029999999,0.079999998,0,0.0099999998,16.030001,0,0.02,0,0,0,0,0,0,0.80000001,0
"Spain",23.4,0.52999997,0,0,0.94,0,0,0,0,0,0,0.55000001,0,0,0,0,0,0.52999997,3.1400001,0,39.66,0,7.5999999,20.77,0,0,0,22.02,0,2.1400001,0,0,0,0,2.25,1.49,2.5,0,0,1.0700001,0,0,0,0,0
"Portugal",3.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.39,0,0,0,0,0,0,6.9699998,0,0,0,0,0,0,0,0,1.24,0,0,0,0,0,0,0,0
"Germany",300.47,2.46,0,0,5.1199999,5.9299998,0,0,0,0,0,1.08,0,0,55.77,5.0999999,0,34.16,104.2,8.0900002,171.59,60.32,68.93,115.38,38.669998,29.450001,3.0799999,0,179.42999,68.5,3.0599999,4.3200002,2.6500001,15.36,324.32001,33.720001,8.75,32.200001,0,1.66,0.07,13.63,15.52,6.9499998,0
"Austria-Hungary",46.77,0,0,0,0,0,0,0,0,0,0,0,0,0,10.71,0,0,0,0,0,44.310001,4.4699998,10.03,19.700001,14.46,0,0,216.19,0,24.92,5.3600001,3.9100001,2.3099999,25.389999,36.720001,0,0.31,0,0,0.0099999998,0.00086999999,8.8800001,0,0.52999997,0
"Italy",75.260002,0,0,0,0.029999999,0,0,0,0,0,0,0.050000001,0,0,4.6900001,0,0,0.88999999,23.32,0,94.639999,9.3100004,14.14,63.48,15.52,6.3499999,0,97.110001,59.66,0,0.58999997,1.1,0.52999997,6.6100001,34.259998,0,2.49,0,0,0.28999999,0.83999997,22.950001,11.68,4.8200002,0
"Yugoslavia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0.69,0.27000001,0,0,5.6599998,0.34999999,0.46000001,0,0,0,0,0.37,0,0,0,0,0,0,0.94999999,0,0,0
"Greece",0.72000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.27,0.54000002,0.56999999,1.87,0.050000001,0,0,2.6800001,3.3900001,1.15,0,0,0.95999998,0.12,5.25,0,0.0099999998,0,0,0,0,2.28,0,0,0
"Bulgaria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3000002,0,1.55,2.1900001,0,0,0,5.73,7.6300001,1.0700001,0,0.0099999998,0,0.85000002,1.13,0,0,0,0,0,0,4.1300001,0,0,0
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.24,0,2.26,4.5999999,1.36,0,0,24.26,16.690001,3.4400001,0,0.25999999,0.16,0,2.0899999,0,0,0,0,0,0,2.25,0,0,0
"Russia",29.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.709999,9.1499996,3.3800001,24.76,2.3099999,0,0,180.36,13.6,6.0599999,0.0039273002,0.28,0.029999999,0.80000001,0,4,4.3099999,4.1700001,0,0,23.950001,4.21,7,2.5999999,0
"Sweden",13.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.5,4.3899999,2.1700001,6.4699998,0,0.81,0,59.07,0,0,0,0,0,0,11.03,0,5.9000001,11.38,0,0,0,0,0,0,0
"Norway",5.9400001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.15,3.48,3.27,2.5599999,0.33000001,0.83999997,0.23999999,31.690001,0.50999999,0.79000002,0,0.059999999,0,0,7.6999998,11.27,0,6.3000002,0,0,0,0.37,0,0,0
"Denmark",22.969999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.25,5.8800001,2.77,4.3299999,0,0,0,68.230003,0,0,0,0,0,0,22.18,15.53,2.8399999,0,0,0,0,0,0,0,0
"Ethiopia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0087825004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morocco",0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8899999,0,0.41999999,7.6799998,0,1.49,0,1.1,0.43000001,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iran",0.029999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72,0,0.38999999,1.66,0,0,0,0.89999998,0.68000001,0.25,0,0,0,0,20.67,0,0,0,0,0,0,1.55,0.039999999,0,0
"Turkey",1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.33,0,0,0,0,0,0,18.780001,19.110001,13.99,4.3099999,1.25,7.1900001,4.1700001,13.25,0,0.059999999,0,0,0,3.8099999,0,0,0,0
"China",20.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.610001,0,6.9400001,1.39,0,0,0,9.6999998,0,0.28999999,0,0,0,0,4.02,0,0,0,0,0,0.50999999,0,0,38.330002,0
"Japan",26.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.790001,0.41,3.24,2.75,1.08,0,0,19.950001,1.42,0.25,0,0,0,0,0.18000001,0,0,0,0,0,0,0,23.26,0,1.28
"Thailand",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6500001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0
