"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Ethiopia","Zambia","Zimbabwe","Malawi","South Africa","Lesotho","Botswana","Swaziland","Madagascar","Mauritius","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen People's Republic","Kuwait","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","New Zealand","Fiji"
"United States of America",0,11780.7,0,34.099998,195.2,197.39999,267,10.1,1299.1,93.5,109,51,65.5,124,80.099998,287.70001,1220.6,46,116,362,711.29999,26,12,163,182.2,20,2339.3,143.3,562.5,705.23688,36.563068,1007.8,492.70001,381,101.4,0,10,104.8,127.1,7,25.4,1408.8,1,0,102.2,55,1,3,14,77.5,122.1,426.60001,151.39999,303.70001,50,0,0.0020000001,0.011,1,1.6,1,0.079000004,98,10.5,0.0020000001,54,9,97,1,27,116,10,7,0.032000002,0.72899997,43,50,24,25,22,14.8,0.215,71,2,0,2,306.20001,0,0,0,34,2,11,11,3,76.400002,13,79.300003,74,3,24,2,14,0.0099999998,159,21,0,1.58,27,4,0,1,583.20001,0,393.10001,6256.2998,317.10001,85,1,28,0,2,106.2,1,0.116,1,0,287,86,506.10001,193,650.5,236.3,11.241
"Canada",10411,0,10.1,0.89999998,1.4,28.299999,8,1.5,49.200001,6.1999998,13.8,4.3000002,1.2,12.8,8,27.799999,356.70001,30.5,11.1,4.5999999,52,0.1,0.5,2.9000001,9.6000004,0.149,775.59998,13.9,82.900002,51.5285,2.671499,166.7,85.099998,36.299999,14.7,0,3.9000001,12.7,48.200001,9.6999998,28.799999,152.2,1,0,7.6999998,5.1999998,0.2,1.2,5.3000002,9.6999998,27.1,111.6,51.700001,32.200001,0.102,0,0.001,0.003,0,0,0,0,1.2,0.2,0,0.60000002,0,7.5,0,0.69999999,46.799999,0.5,0,0,0,1.8,8.1999998,6,4.4000001,0,0,0,0.012,0.045000002,0,0.40000001,48.299999,0,0,0,0.2,11.2,0.1,0.1,0.029999999,0,0.84100002,35.5,1.6,14.2,0.30000001,0,1.1,0,15.2,25.5,0,0.059999999,5.9000001,0.116,20,0,54.700001,0,15.3,612.09998,42.400002,10.5,0.001,9.3000002,0,0,1.2,0,0.72000003,0,0,36.099998,21.299999,4.5,0.60000002,154.10001,45.200001,7.1999998
"Cuba",0,56.700001,0,0,0,0.104,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0999999,0,0,49.299999,0.02,13,5.038765,0.26123521,58.299999,12.2,36.599998,0,0,0,0,1.9,6.9400001,0,59,0,0,2.21,0,0,0,14.65,0,0.75999999,5.3000002,0,3.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0,0,0,1.74,2.6900001,0,0,0,0,0,0,0,0,0,0,0,0,0,39.200001,0,0,1.753,0,0,0,0,0,0,0,0,0.13,0.93000001,0,0,0,0,0
"Haiti",24.104,2.2750001,0,0,0.023,0.204,0.056000002,0.001,0.435,0.0060000001,0.105,0.001,0.056000002,0.003,0,0.116,0.116,0,0,0.0020000001,0.090000004,0,0,0.018999999,0.24600001,0,2.141,0.012,1.5549999,1.226416,0.063583702,2.6289999,0.47799999,0.116,0.016000001,0,0,0.206,0.20100001,0.308,0.43000001,2.7060001,0,0,0.0040000002,0.001,0,0.29699999,0.31200001,0,0.078000002,0.15099999,0.211,0.384,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0.0020000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0,0.001,0,0,0,0,0,0.0089999996,0,0,0,0,0,0.0020000001,0,0,0,0,0,0.22499999,0,0,0,0.02,4.7080002,0.13,0.048999999,0,0,0,0,0,0,0,0,0,0,0.014,0,0.001,0.024,0,0
"Dominican Republic",143,14.8,0,0.25099999,0,0.99299997,0,0,1.2,0.75999999,4.875,0.169,0.001,0.27500001,0.175,1.0599999,4.5999999,0.0020000001,0.029999999,0.0099999998,0.67000002,0,0,0,0.18000001,0.001,8.5,0.02,8,3.8028409,0.1971586,3.7,2.2,0,0.33000001,0,0,0,0.40000001,0,0,11.4,0,0,0,0.0099999998,0,0,0,0,0.15000001,1.4,3.8,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0.029999999,0,0,0,0,0,0,0,0,0,0,33.299999,0.17,0.72000003,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0
"Jamaica",229.94099,47.445,0,0.30899999,0.116,0,5.5799999,0.31,0.92699999,0.63099998,3.2190001,0.027000001,1.352,0.02,0.156,0.53600001,22.971001,2.8380001,0.021,0.075000003,0.57300001,0,0.012,0.0089999996,1.3559999,0.001,100.674,1.029,6.5949998,3.897912,0.2020876,8.2279997,2.8239999,0.79000002,0.264,0,0.0080000004,0.0020000001,3.1040001,0.0099999998,0.016000001,7.7160001,0.0020000001,0,0.42399999,0.003,0.030999999,0,0,0.001,0.88499999,2.7969999,0.579,1.375,0.001,0,0,0,0,0,0,0,0,0,0,0.0099999998,0.0020000001,0.097000003,0,0.043000001,0.035999998,0,0,0,0,0.001,0,0.155,0.119,0,0,0.001,0.0060000001,0,0,0.001,0.037,0,0,0,0,0,0.0049999999,0.0049999999,0,0,0.0060000001,0,0.011,0.0020000001,0.003,0,0.0040000002,0,0.177,0.60000002,0,0.0020000001,0,0.0020000001,0.125,0,1.423,0,0.20900001,13.624,0.648,0.65100002,0,0.0060000001,0,0,0.081,0,0,0,0,0.64600003,0.667,0.082999997,0.054000001,8.3430004,7.4720001,0
"Trinidad and Tobago",88.879997,23.790001,0,0.013,0,4.5500002,0,1.33,0.28,0.041000001,1.65,0,0.033,0.0089999996,0,3.3399999,133.74001,5.73,0.039999999,2.27,3.8399999,0,0,0.0099999998,0.62,0.055,72.089996,2,4.9200001,2.8901589,0.14984059,4.27,1.11,1.97,0.82999998,0,0,0,0,0,0,3.3099999,0,0,0,0,0,0,0,0,0,0.99000001,1.95,1.3099999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0099999998,0,0,23.049999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029999999,0,0,41.299999,0,0,0,0,0,0,0,0,0.0099999998,51.209999,0,0,0,0,0,0,0,0,0,13.46,1.33,0.059999999,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6999998,6.5300002,0
"Barbados",28.723,14.37,0.0049999999,0.028999999,0.016000001,2.3310001,9.8629999,0,0.079999998,0,1.12,0.0040000002,0,0.001,0.029999999,0.17200001,5.0619998,2.5139999,0,0.02,0.221,0,0.146,0.0040000002,1.507,0.0020000001,41.716999,0.53500003,3.7709999,0.42781961,0.0221803,1.887,0.60900003,0.37200001,0.25600001,0,0.061000001,0.057999998,0.12,0.090999998,0.125,1.929,0.0099999998,0,0.0089999996,0.013,0.022,0,0.023,0.050000001,0.082000002,0.39300001,0.77499998,1.472,0.001,0,0,0,0.0070000002,0,0,0,0,0,0,0,0,0,0,0,0.0049999999,0,0,0,0,0,0,0.0089999996,0.003,0,0,0,0.0049999999,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0.001,0.0060000001,0.001,0.044,0,0,0,0.088,0,0,0,0,0,0.059,0,0.082999997,0,0.148,4.3699999,0.41499999,0.001,0,0.081,0.024,0,0.016000001,0,0,0,0,0.18799999,0,0.0099999998,0.001,1.8,2.803,0
"Mexico",1433.6,49.400002,0,0,0,0.072999999,0.44,0,0,1,0.041000001,0.1,1.3,0.30000001,11.8,0.89999998,4,0.1,0.5,13.4,15.8,0.69999999,0.89999998,10.8,14.3,2.5,71.599998,1.8,33.799999,20.25013,1.04987,104.6,74,30.299999,1.6,0,1.3,0.69999999,1.9,0.60000002,3.4000001,39.400002,0.0099999998,0,0.1,0.039999999,0,0,0,0.2,6.1999998,41.799999,8.8000002,4.5,0.0080000004,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4000001,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.23,0,0,0,1.2,0.1,0,0,0,0,0,0,2.4000001,0.1,0.60000002,86,1.1,0.30000001,1.04,2.4000001,0,0,0.079999998,0,0,0,0,0.5,5.9000001,0,0,11.1,3.2,0.003
"Guatemala",100.373,3.523,0,0.0099999998,0.011,0.34400001,0.18099999,0,8.7679996,0,7.0580001,39.473999,7.224,11.226,0.48199999,1.617,1.155,0.001,0.088,0.124,0.39500001,0,0.0080000004,0.055,0.66500002,0.030999999,10.424,0.227,4.9120002,4.4493241,0.23067559,4.3699999,4.4060001,2.7690001,0.486,0,0,0,0.55500001,0,0.097999997,4.7309999,0,0,0.013,0.07,0,0,0,0,0.24600001,2.408,0.27000001,0.78100002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066,0,0,0,0.121,0,0,0,0.0060000001,0,0,0,0,0,0,0.013,0,0,0.0020000001,0,0,0,0.033,0,0,0,0,0,0,0,0.12,0,0.0049999999,29.308001,0.028999999,0.237,0,0.085000001,0,0,0.384,0,0,0,0,0,0,0.059999999,0.017999999,0.086999997,0.016000001,0
"Honduras",91.487,2.572,0,0,0.001,0.182,0.063000001,0,2.8759999,28.528,0,0,13.989,12.364,0.74900001,1.045,10.591,0.0020000001,0.017000001,0.093999997,0.29899999,0,0,0.015,0.114,0.001,5.9619999,0.0060000001,3.049,3.3084719,0.171528,1.2130001,1.448,0.82999998,0.048999999,0,0.102,0.154,0.82999998,0.1,0.37799999,1.909,0.0020000001,0,0.017000001,0.003,0,0.003,0.025,0.0020000001,0.23199999,1.661,0.131,0.53899997,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0020000001,0,0,0,0,0,0,0,0.012,0,0,0,0.0020000001,0,0.012,0,0,0,0,0.028000001,0.001,0,0,0,0.0020000001,0.014,0.022,0,0,0,0,0.014,0.081,0,0.052999999,0,0,17.915001,0.017999999,0.02,0,0.059,0,0,0,0,0,0,0,0.02,0,0.0049999999,0.022,0.003,0,0
"El Salvador",63.314999,3.54,0,0.0089999996,0.015,0.02,0,0,3.2780001,40.601002,0,0,8.7779999,11.173,4.1750002,0.708,3.233,0,0.109,0.122,0.093999997,0,0,0.017000001,0.19599999,0.0040000002,6.3140001,0.0020000001,9.8699999,5.4760919,0.28390849,1.926,2.3770001,0.87900001,0.086999997,0,0,0.0020000001,0.090000004,0.033,0.050000001,3.7809999,0,0,0,0.104,0,0,0,0,0.121,0.93400002,0.108,0.82800001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059999999,0,0,0,0,0,0.052999999,0,0,0,0,0,0,0,0,0,0,0,0.039999999,0,0,0,0,0,0.025,0,0,0,0,22.166,0.0049999999,0,0,0,0,0,0.050000001,0,0,0,0,0,0.0099999998,0.0020000001,0,0.018999999,0,0
"Nicaragua",72.295998,2.763,0.001,0,0.0020000001,0.207,0.19,0,2.5539999,15.728,4.9260001,15.425,0,13.932,4.4780002,1.607,8.132,0.014,0.078000002,0.134,0.73100001,0.0020000001,0.003,0.028999999,0.27500001,0.102,6.868,0.0040000002,5.8060002,3.4320641,0.1779357,0.59500003,0.75999999,1.574,0.118,0,0,0,0.045000002,0,0.082999997,6.7020001,0,0,0,0.003,0,0,0,0,0.052000001,0.57300001,0.066,0.70899999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034000002,0,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,12.724,0.02,0.052999999,0,0.052000001,0,0,0.104,0,0,0,0,0,0.109,0.011,0,0.085000001,0,0
"Costa Rica",110.293,4.7129998,0,0.003,0,0.30500001,0.083999999,0,6.6370001,21.546,7.0900002,20.072001,19.948,0,2.698,2.9330001,7.6459999,0,0.124,0.21600001,0.54500002,0,0,0.029999999,0.456,0.028000001,15.53,0.025,5.5079999,6.0845461,0.3154538,4.1259999,3.615,2.842,0.185,0,0.13600001,0.23,1.086,0.167,0.47799999,5.6230001,0.001,0,0.178,0.016000001,0,0.0020000001,0.021,0.011,0.509,3.263,0.51599997,0.56900001,0.001,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.094999999,0,0,0,0.0020000001,0,0.048,0,0,0,0.0099999998,0.0080000004,0.013,0,0,0,0.0020000001,0,0.29499999,0,0,0,0,0.001,0.075999998,0,0.20200001,0,0.0020000001,28.542,0.15800001,0.025,0,0.0099999998,0,0,0,0,0,0,0,0.40099999,0.012,0.013,0.0099999998,0.108,0,0
"Panama",143.287,5.1370001,0,0.001,0.022,0.384,0.34400001,0.001,2.76,1.686,0.73100001,0.70300001,1.1289999,5.7670002,0,3.8110001,63.582001,0.001,0.419,0.463,0.223,0,0,0.43200001,0.68000001,0.029999999,9.0710001,0.0089999996,6.3959999,3.5936849,0.1863149,3.0079999,2.1070001,2.1429999,0.19499999,0,0.197,0.331,0.38499999,0.176,0.37200001,4.3740001,0,0,0.048999999,0.19599999,0,0.057,0.003,0.0049999999,0.264,2.234,0.89399999,3.3570001,0.056000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0020000001,0,0.36399999,0,0,0,0,0,0.0060000001,0,0,0,0,0.018999999,0.003,0,0,0,0.0099999998,0,0.064000003,0,0,0,0,0,0.048999999,0,0.58399999,0,0.081,23.614,0.58399999,0.072999999,0,0.0099999998,0,0,0.016000001,0,0,0,0,0.037999999,0.035999998,0.123,0.0049999999,0.80500001,0.727,0
"Colombia",403.73001,20.450001,0,0.001,0.059999999,0.61000001,0.56,0,16.559999,0.0099999998,0.090000004,0.0099999998,0.050000001,0.02,3.96,0,9.5200005,0.21799999,9.96,9.8400002,4.46,0,0.175,10.37,14.5,3.2,33.959999,0.25,12.98,9.1173124,0.47268781,17.92,17.35,44.27,0.23,0,3.6500001,7.6300001,1.38,0.63,1.88,21.379999,0,0,5.4400001,0.0099999998,0,0,2.0599999,1.24,5,13.48,0.46000001,4.0999999,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81999999,0,0,0,0,0,0.12,0,0,0,0,0,0,0.40000001,0.15000001,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,53.48,0.059999999,0.0099999998,0,0,0,0,0,0,0,0,0,0.31,1.98,0,0,0.38,0.029999999,0
"Venezuela",949.29999,82,0,0.0080000004,0.5,0.69999999,0.80000001,0.025,30,0.1,0,0.2,0.1,0.1,2,6.6999998,0,0.30000001,0.1,6.5999999,9.8000002,0,0.026000001,7.9000001,14.9,0.2,99.800003,0.89999998,31.6,30.99316,1.606843,59.5,49.400002,31.200001,4.8000002,0,0.80000001,3.5,3.8,0.2,6,95.900002,0,0,1,0.2,0.2,0,10.1,0.1,5.3000002,22.4,3,13.8,0.018999999,0,0,0,0,0,0,0,0,0,0,0.022,0,0,0,0,0,0,0,0,0.1,0,0,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.30000001,0,0,0,0.80000001,0.60000002,0.1,0,0.40000001,0,0.1,0,1.2,0.60000002,0,0,0,0,2.3,0,1.8,0,0.2,154.39999,0.5,0.2,0,0.1,0,0,0.1,0,0,0,0,4,0.1,1.1,0.2,2.0999999,0.60000002,0
"Guyana",32.009998,12.122,0,0,0.001,1.947,16.280001,0.62599999,0.32300001,0,0,0,0,0.001,0.0070000002,0.175,0.064999998,0,0,0.025,0.35699999,0,0,0.003,0.057999998,0.001,41.558998,0.115,4.7150002,1.207402,0.062597901,1.357,0.25999999,0.34099999,0.055,0,0,0.0049999999,0.115,0.012,0.025,0.95099998,0.001,0,0.057,0.0020000001,0.0080000004,0.001,0,0.493,0.26499999,0.465,0.419,0.60600001,0,0,0,0,0,0,0,0,0,0,0,0.0020000001,0,0,0,0,0.003,0,0,0,0.003,0,0,0.022,0.037,0,0,0.001,0.0089999996,0.001,0,0,0,0,0,0,0,0,0.029999999,0,0,0,0.0080000004,0.014,0.0020000001,0,0.046,0,0.0080000004,0,0.029999999,0,0,0,0,0,0.105,0,0.505,0,0.177,5.5180001,0.81999999,0.66600001,0,0.071999997,0,0,0.0099999998,0,0,0,0,0.025,0.199,0.001,0.0089999996,1.5,0.345,0
"Ecuador",118.9,3.97,0,0.0070000002,0,0.001,0,0,1.7,0.14,0,0.27000001,0.0099999998,0.059999999,0.23,13.26,8.1499996,0.001,0,4.4000001,0.67000002,0,0.60000002,3.5999999,2.22,0.090000004,11.48,0.0099999998,3.73,4.4873528,0.2326472,4.29,3.6500001,2.4400001,0.23999999,0,0.58999997,1.17,1.34,0.55000001,2.4200001,8.54,0,0,1.1900001,0,0,0,0.0099999998,0.02,1.01,4.0100002,1.27,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0089999996,0,0,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0.02,0.079999998,0,0,0,0,0,0,0.090000004,0,0,0,0,0,0.37,0,0.090000004,0,0.059999999,25.450001,0.17,0.19,0,0.19,0,0,0,0,0,0,0,0.28999999,0.20999999,0,0,1.53,0,0
"Peru",199.06,28.07,0,0.001,0,0.029999999,0.0099999998,0.001,12.25,0.094999999,0,0.011,0.050000001,0.0080000004,0.47999999,26.719999,4.8099999,0.029999999,2.4400001,0,5.0900002,0.67000002,0.36000001,11.15,39.98,2.1099999,26.809999,0.44,13.11,14.04199,0.72800827,11.77,11.55,8.3100004,0.69,0,0.090000004,0.61000001,2.46,0.11,1.03,18.07,0,0,0.18000001,0.050000001,0,0,0.039999999,2.05,3.1600001,11.48,4.5,2.8299999,0.061000001,0,0,0,0,0,0,0,0.0099999998,0,0,0,0,0.050000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1900001,0,0,0,0.029999999,0,0.0099999998,0,0,0,0.0099999998,0.090000004,0,0,0,0,0,0,0.22,0,0,0,0,0,0.17,0,0.33000001,0,0.039999999,48.919998,0.58999997,2.8399999,0,0.54000002,0,0,0.050000001,0,0,0,0,1.92,0.44999999,0.14,0.88,6.5799999,6.21,0
"Brazil",1009.921,77.924004,0,0,0,0.0020000001,9.7460003,0.0020000001,18.886999,0.055,0.022,0.0020000001,0.16500001,0.0049999999,13.244,2.684,64.911003,0.40700001,1.6059999,11.176,0,0.16500001,1.584,39.248001,187.814,12.65,176.957,0.50599998,54.779999,46.43269,2.4073069,97.427002,64.944,35.464001,13.145,0,27.214001,12.21,6.9629998,5.8189998,11.088,96.612999,0,0,0.671,0.51700002,0,0.055,4.257,3.839,15.598,58.608002,24.563,26.025999,1.947,0,0,0,0.022,0,0,0,0.011,0,0,0,0,0.0049999999,0,0,31.768,0,0,0,0,3.1459999,0,0,0,0,0,0,0.011,12.408,0,0,2.53,0,0,0,0.011,0,1.0779999,28.985001,0.99000001,10.934,0,12.969,0.18700001,52.953999,11.693,0,0.044,0,3.8280001,63.316002,0,0,22.781,0,0.055,0,4.895,0,0.098999999,195.591,0.46200001,3.256,0,0,0,0,0.11,0,0,0,0,5.4889998,1.628,0.46200001,0,5.2470002,0.033,0
"Bolivia",49.243,2.7820001,0,0,0,0,0,0.0060000001,0.94400001,0.17,0,0.0049999999,0,0,1.323,0.47400001,0.034000002,0.0040000002,0.102,2.1159999,3,0,0.025,1.92,16.271999,0.149,7.98,0,5.5050001,1.521137,0.078863502,2.2720001,2.8710001,1.748,0.13,0,0,0,0.89999998,0,0.963,2.263,0,0,0.0099999998,0,0,0,0,0,0.26499999,1.534,0.18000001,1.46,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78299999,0,0,0,0,0,0.059999999,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.50400001,0,0,26.033001,0.25999999,0.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064000003,0,0
"Paraguay",16.458,0.27200001,0,0,0,0,0,0.001,0.164,0.013,0,0,0,0,0,0.041000001,0.082000002,0.003,0.104,0.097999997,2.247,0.011,0,0.29100001,13.023,1.636,6.0300002,0,0.722,0.39929831,0.020701701,1.5190001,0.58200002,0.60699999,0.044,0,0,0,0.47,0,0,1.416,0,0,0.014,0.056000002,0,0,0,0,0.13500001,1.618,0.13500001,0.13500001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2199998,0,0,0,0,0.0049999999,0,0,0,0,0,0.0099999998,0,0,0,0,0,0,0,0.505,0,0.044,4.75,0.098999999,0.20200001,0,0.0020000001,0,0,0,0,0,0,0,0,0,0.052999999,0,0,0,0
"Chile",343.57999,11.57,0,0.001,0.0099999998,0.0070000002,0.02,0,18.67,0.0049999999,0.001,0,0,0,3.29,16.309999,11.69,0.093000002,9.0299997,7.0999999,24.799999,1.21,1.72,0,93.32,4.6199999,58.099998,0.46000001,13.03,7.6342039,0.39579591,31.59,16.74,21.35,0.46000001,0,0,2.1500001,3.26,0,1.49,24.76,0.050000001,0,0.19,0,0,0,0,0,2.47,10.69,12.39,5.0300002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30000001,0,0,0,0,0,0,0,0,0,0,0,0.07,7.6999998,0,0,0,0,0.28999999,0,0,0,0,27.700001,0.079999998,2.29,0,0,0,0,0,0,0,0,0,4.2800002,1.02,0,0,2.03,0,0
"Argentina",419.56,49.32,0,0.0020000001,0,0.0040000002,0.55000001,0,14.03,0.02,0,0.001,0.0020000001,0.0020000001,2.3199999,12.23,30.530001,0.81999999,4.3899999,14.07,183.67999,11.3,19.85,75.370003,0,6.6700001,92.459999,0.69,32.57,20.44978,1.060221,63.490002,35.509998,33.23,1.53,0,0.050000001,9.1499996,6.3200002,0.81,2.8399999,121.68,0,0,0.36000001,1.16,0.0060000001,0.13,1.46,3.0999999,22.34,34.630001,7.75,3.6900001,0.029999999,0,0,0,0.0099999998,0,0,0,0.49000001,0,0,0.58999997,0,1.25,0,0,0.34999999,0,0,0,0.050000001,0.0099999998,0.0099999998,0.28999999,0.029999999,0,0,0,0,0.235,0,0,7.1700001,0,0,0,0,0,0.059999999,0.37,0.0099999998,0,0.02,1.05,0.33000001,0.1,0,0,0,0,0.86000001,1.28,0,0,1,0,0.91000003,0,0.079999998,0.0099999998,0.40000001,84.93,2.76,16.780001,0,0.19,0,0,0.07,0,0,0,0,7.3699999,6.8600001,0.1,0.0099999998,2.8800001,0.07,0
"Uruguay",30.021,4.9219999,0.057,0,1.025,0.086999997,0.28999999,0,2.536,0.001,0,0,0,0,0.055,0.123,0.94599998,0,0.012,0.96399999,35.074001,0,3.6570001,2.7780001,28.451,0,16.121,0.19599999,3.188,2.2912121,0.1187881,4.494,4.0440001,4.1999998,0.23899999,0,2.707,0.477,0.98400003,0.107,1.903,5.895,0,0,0.090999998,0.086000003,0,2.072,0.0070000002,1.191,0.49700001,4.2220001,0.51099998,0.84600002,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,8.75,0,0,0,0,0,0.003,0,0.0020000001,0,0,0,0,0,0.022,0,0.29699999,0,0,0,0.003,0,0.003,0,0.96799999,0,0,0.301,0.027000001,3.1329999,0,0,0,0,0.034000002,1.223,0,0,14.579,0,0.052000001,0,0.055,0,0.38999999,3.414,0.796,2.5280001,0,0.228,0,0,0.017000001,0,0,0,0,1.541,0.38699999,0.245,0.138,0.214,0.0040000002,0
"United Kingdom",2817.7,1638.6,13.7,0.30000001,2.7,66.400002,46.299999,16.4,15.2,2.0999999,0.60000002,0.80000001,2,0.89999998,4.4000001,21.4,122,30.1,1.4,36.5,150.7,68.300003,5.5,155.7,157.39999,20.5,0,819,1101.8,449.02051,23.279499,883.79999,477.20001,303.70001,207.3,0,38.599998,151.3,191,25.5,54.700001,598,13.8,0,52.099998,47,49,19.9,55.700001,528.09998,468,890.5,476.70001,660.09998,21.5,0.1,9.8999996,0.80000001,5.0999999,1.3,20.6,0.40000001,23.1,2.5,0.56599998,28.700001,75.5,93.5,3.0999999,5,297.29999,2.8,1.1,0.30000001,4.3000002,45.299999,42.400002,65,57.5,5,2.3,0.2,4.6999998,243.3,0,29.1,682.40002,0,7.5999999,22.6,3.2,54,39,50.799999,6,400.5,18.299999,182.5,37.5,44.900002,26,1.2,7.5,0.60000002,108.2,250.2,0.80000001,23.1,397,15.4,80.5,0,14.1,1.4,15,322.60001,254.5,84.800003,10.3,87.699997,0,2.0999999,13.2,0.80000001,0.001,1.1,0,111.8,80.5,18,17.5,624.20001,488.5,24.5
"Ireland",109.61,25.200001,0.68000001,0.127,1.1900001,0.17,0.88,1.05,0.30000001,0.0099999998,0.02,0.02,0.029999999,0.18000001,0,2.24,0,1.17,1.4299999,2.8800001,4.4299998,0.02,0.0099999998,0.47,9.4700003,0.17,839.09003,0,42.75,22.23711,1.152885,50.779999,11.11,11,5.4200001,0,1.58,18.219999,3.3699999,0.69,3.3099999,31.08,0.25999999,0,1.39,0.66000003,0.89999998,0.74000001,1.91,3.77,19.5,26.629999,7.8899999,19.66,0.36000001,0,0,0,0.81999999,0,0,0,1.02,0.0099999998,0,0.0099999998,0.67000002,5.4899998,0.0099999998,0.0099999998,4.0799999,0.059999999,0,0.02,0.20999999,0.050000001,1.17,1.5700001,1.95,0,0.07,0,0,0.37,0,1.37,5.0900002,0,0,0.19,0,0.11,6.5599999,1.5599999,1.76,0.66000003,0.16,11.38,1.8200001,4.3899999,0.19,0,0.0099999998,0,5.8499999,16.5,0,0.80000001,16.870001,0.0099999998,2.05,0.039999999,0.58999997,0.11,0.86000001,15.36,8.9099998,2.3399999,0.079999998,2.73,0,0,0.44999999,0.0099999998,0,0,0,3.4000001,0.25,0.68000001,0.77999997,9.0699997,6.1700001,0.050000001
