"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Dominica","Grenada","St. Lucia","St. Vincent and the Grenadines","Antigua & Barbuda","St. Kitts and Nevis","Mexico","Belize","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Monaco","Liechtenstein","Switzerland","Spain","Andorra","Portugal","Germany","Poland","Austria","Hungary","Czech Republic","Slovakia","Italy","San Marino","Malta","Albania","Macedonia","Croatia","Yugoslavia","Bosnia and Herzegovina","Slovenia","Greece","Cyprus","Bulgaria","Moldova","Romania","Russia","Estonia","Latvia","Lithuania","Ukraine","Belarus","Armenia","Georgia","Azerbaijan","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Djibouti","Ethiopia","Eritrea","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Namibia","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","Turkmenistan","Tajikistan","Kyrgyzstan","Uzbekistan","Kazakhstan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Brunei","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Vanuatu","Solomon Islands","Kiribati","Fiji","Tonga","Nauru","Marshall Islands","Palau","Federated States of Micronesia","Samoa"
"Spain",1096.4653,81.6999,35.3623,524.39,8.5427,221.7309,3.2411,38.626,3.2584,0.0196,0.4499,0.277,10.0272,0.5916,0.1082,521.3942,41.489,80.4695,2.7974,33.3447,0.849,3.3634,25.0712,61.0111,120.0377,2.6299,19.8845,13.486,351.9292,2.141,41.4756,13.5516,46.5767,75.57,26.8977,735.8512,1270.7919,2596.2539,1865.8516,112.5117,3728.444,0,0,463.4838,0,0,6492.055,6665.873,739.4865,784.8458,91.2789,30.4292,92.9378,2294.8835,0,48.5832,11.3168,0.6698,64.313,0,19.1626,128.7948,712.6136,103.4913,43.389,7.4414,7.619,1025.1556,4.6504,1.7563,16.5071,84.4458,5.8553,1.5787,0.8271,9.414,675.4061,1565.723,186.3947,336.9234,22.6082,0,0.48,0.1645,275.0864,1.5842,18.0563,23.532,23.7664,11.1974,1.7441,70.0138,69.1785,11.3262,106.169,1.7068,50.2212,3.1125,210.6406,787.108,4.6715,14.1577,3.0338,27.2439,1.4683,53.5065,27.4665,1.5599,1.8092,1.3722,0.0809,3.275,55.4056,5.8818,46.9365,40.5585,7.0465,35.9103,12.7922,355.1486,199.6479,0.0929,1.4133,2.3716,18.0675,0.4388,7.0844,26.3352,489.9453,889.4017,69.2023,952.7894,14.6177,138.2339,568.136,590.1772,220.9412,233.2754,137.6275,33.6229,141.6678,254.8297,2.4304,74.0881,21.6612,41.5229,197.4175,26.2245,0.0683,0.7996,1.1698,0.536,6.566,37.4333,2608.3674,0.0927,559.8458,4.0468,1346.3813,2276.1346,450.959,0.0059,89.5281,56.0026,7.7119,11.0007,0.2976,2.9813,526.71,15.6573,4.6042,156.6222,237.5355,208.1694,1.0332,4.8819,849.0698,74.1231,7.6421,43.7247,0.0363,0.4468,0.0038,0.2643,0.0012,0,0,0,0,3.4657
"Andorra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Portugal",267.2517,53.6588,0.0757,19.8281,0.3634,0.3417,15.5616,3.2896,0.2351,0.0722,0.0624,0.0226,0.0496,0.9012,0.1223,71.7319,0.3222,1.176,3.8563,0.3165,0.7144,17.7707,13.7112,84.0045,20.645,29.7885,4.211,17.5726,0.1807,226.3677,0.1056,13.6237,18.4116,138.6155,9.2536,267.5693,177.083,895.6477,266.9205,40.0842,1052.3037,0,0,66.7672,6492.055,0,0,795.2232,98.6502,58.5543,26.4659,68.5043,2.4504,2055.9418,0,4.3481,0.0719,0.67,0.2246,0,5.5761,2.2645,42.4974,14.5572,10.3833,6.2421,14.6608,181.7978,2.3305,0.7943,5.5527,17.3472,4.2098,0.3183,0.5095,0.0121,131.3551,159.3087,324.8893,108.4074,74.3489,0,17.5533,19.3307,2.336,0.0243,14.1565,5.6221,7.169,13.2301,1.6744,15.3916,0.9082,8.0093,2.1959,0.0765,1.6699,1.3951,66.7282,313.2086,62.4885,2.9328,27.2036,23.3101,9.697,14.0382,3.4313,11.4423,0.1281,0.1946,0.001,0.2993,0.1411,0.626,312.1761,1.2321,3.0575,23.3322,12.8219,40.5935,1.3657,0.0041,2.553,11.6606,7.4398,0.0319,18.0721,1.2712,41.1757,13.6752,15.6762,19.1565,3.8675,228.2688,124.3721,193.3886,91.1953,41.9006,12.5648,4.3919,33.356,221.7502,1.6785,13.2205,0.4363,0.4631,7.9588,0.8564,0.1701,0.2303,1.5029,0.0012,15.8632,5.1725,245.4298,0.0005,88.3293,0.1275,396.1586,926.6248,132.3733,0,67.1953,4.0475,0.5757,5.2825,0.0212,0.424,129.0285,0.5371,0.3577,7.8941,48.4024,23.4587,0.0389,13.1726,38.4846,60.0875,1.3008,2.9748,0,0,0,18.2978,0,0,0,0,0,0.4
"Germany",17069.843,2451.0271,150.1967,34.1596,20.5316,96.035,75.3145,49.9544,14.7797,0.6995,5.1032,2.8663,1.6969,441.566,0.1944,4051.3571,1.824,14.9575,43.6306,29.745,20.998,135.026,102.7324,68.7472,277.528,2.8701,7.112,157.5915,38.126,1706.6304,35.2844,39.1201,22.163,492.4619,5.3579,10949.902,5751.8989,774.684,4885.572,1505.9756,10617.465,0,0,6271.546,6665.873,0,795.2232,0,1752.0524,13649.17,1364.7851,254.981,151.7666,7702.239,0,20.0357,28.0767,14.8725,753.226,0,272.0246,558.702,2398.9047,190.3289,268.175,7.1827,53.236,4672.5259,155.728,135.2006,240.5171,331.732,438.8334,26.6782,31.2195,134.5079,223.7681,1729.3303,2960.5801,2378.9449,6.617,0,2.6353,1.1233,0.082,26.0275,30.0886,51.8015,25.8763,15.3777,7.5299,198.0547,22.5833,8.1901,500.101,3.8086,71.8544,15.2782,10.2639,531.9785,1.3589,1.2667,14.2229,104.0774,12.4615,7.2294,5.0631,3.8515,9.161,3.4006,0.9017,8.1129,17.1046,7.72,71.6503,4.424,19.6314,37.0102,49.2818,1193.5249,0.564,0.228,8.404,1.43,32.9296,0.4488,5.1647,3.7179,106.9456,3.9724,690.9697,1399.1267,69.0923,883.157,130.436,5.1091,1131.8957,564.5817,534.738,345.8989,1088.1479,1390.7183,55.3032,489.2549,98.3405,147.9635,1871.8392,174.0404,7.3283,23.776,4.3073,83.511,211.7822,305.265,4881.34,17.653,1212.5523,12.1097,522.0518,11346.341,346.509,0.929,109.3695,420.4631,1.6909,124.8438,3.6592,84.2276,603.91,69.764,20.1648,744.124,677.1993,662.2268,26.7189,697.0849,682.5169,3081.7978,196.2219,126.8315,9.0684,1.3626,0.011,5.2655,0.3592,0.107,0,0,0,5.1428
"Poland",794.243,49.7122,32.485,2.0493,0.272,0.1345,1.7225,2.1787,0.2384,0.0723,0.01,0.0734,0.0306,0.0612,0.0526,7.8431,0.0848,5.3519,0.8511,0.1924,0.0566,23.5974,0.8766,34.0895,37.2229,0.017,0.0494,101.0167,20.4176,158.6914,0.4291,0.014,9.5083,13.8704,2.3305,984.23,155.5328,504.4071,585.3455,55.0543,1840.2568,0,0,513.3651,739.4865,0,98.6502,1752.0524,0,308.2278,41.0581,360.5026,216.8237,2526.8689,0,0.3417,0.019,16.1844,29.2811,0,33.1696,102.0958,2.8122,2.2026,31.7478,1.1753,6.3111,2073.7878,8.9811,100.8952,71.9285,80.0353,46.5572,2.6939,16.2901,5.3326,623.7567,730.1089,140.8757,40.6995,19.9073,0,0.2797,0.0056,0,0.031,1.0363,1.5766,0.2601,19.9867,1.086,67.2026,0.6685,0.6038,97.7053,0.4663,11.1347,13.72,0.1481,0.8694,0.7441,0.0471,0.897,11.8581,0.1901,13.5214,5.1809,5.1541,0.1138,0.0611,0.0056,0.2302,2.6434,0.0771,2.3929,0.7252,2.1384,41.2421,20.5314,68.603,0.0095,0.0001,0.1678,0.021,1.4703,0.0284,0.8711,0.154,7.9338,36.5617,15.3141,4.4492,5.3995,13.9323,112.3888,0.3077,65.1863,14.9294,9.8912,4.5608,126.0949,40.8285,3.3505,10.6571,0.224,0.686,29.5167,0.3085,2.1322,10.1034,0.1848,0.0509,7.8931,21.0608,1062.5304,4.4806,423.3246,9.0239,1123.4484,847.0589,129.8195,0.0299,3.431,14.6337,0.053,22.0615,0.3063,0.0312,117.2422,0.9084,0.0953,92.3831,161.3226,28.4571,0.0383,55.8726,183.7103,10.1423,5.0187,36.8238,0.3313,0.0984,0.0121,0.0812,0,0.0206,0,0,0,0.1066
"Austria",42.6729,189.1119,1.5423,1.3432,1.1913,0.5089,1.4502,3.3482,0.8209,0.0159,0.1563,0.1081,0.0153,0.1902,0.0191,140.8731,0.573,0.3027,0.3032,3.0462,1.1708,5.1478,1.3647,9.6865,8.3583,0.1204,0.2854,1.5525,11.2496,296.7061,2.2203,2.7016,14.9285,78.3843,5.8895,554.7697,309.5588,2003.849,571.3923,51.9801,839.2924,0,0,42.1465,784.8458,0,58.5543,13649.17,308.2278,0,92.4299,20.5934,241.5182,333.2109,0,11.5731,13.8193,37.7154,248.645,0,126.1404,38.4144,172.0568,24.6993,74.6808,14.6148,26.543,294.4091,14.2743,27.5826,19.7888,45.472,20.444,2.8285,1.3152,29.5169,355.7056,365.9301,204.0777,45.9476,14.308,0,0.0629,0.0757,0,0.1105,6.4417,3.286,0.7726,1.8115,0.1595,3.5236,0.8863,1.0791,0.1429,1.14,8.6195,0.816,8.7823,54.8016,0.6852,0.1113,5.0471,0.2086,0.5533,0.5553,4.8666,0.2566,2.2359,0.7029,2.8357,1.0051,4.3067,0.2695,0.6528,3.0077,0.4417,8.0926,1.2834,49.4486,0.9333,0.1041,1.5666,0.0159,1.4995,0.0542,0.9928,0.3314,7.3937,4.0472,16.8706,125.3829,7.621,282.4038,88.3201,193.7554,91.833,19.3699,29.7644,21.7597,4.5877,107.7959,7.1693,40.3409,12.3865,9.265,149.4468,10.1572,0.7616,0.1148,1.5916,0.8881,6.5807,136.7727,154.7979,0.3556,151.4486,19.6895,54.2773,213.4111,27.0494,3.7555,4.4324,12.4648,0.3715,1.8133,0.4285,1.3865,8.5604,4.3821,0.5032,4.6768,8.2349,167.9749,2.5033,18.1705,56.4615,316.8007,0.992,35.6538,0,0.3253,0,0.1425,0.0319,0.0013,0,0,0,0.0053
"Hungary",909.23,10.9445,1.1649,0.612,0.1682,0.1298,0.0385,0.1849,0.0077,0.0461,0.028,0.0878,0.028,0.138,0.0634,70.4744,0.037,2.7894,2.2996,0.1939,0.093,15.1035,1.0913,5.2984,8.635,0.0569,0.08,3.8141,11.7397,101.7992,0.1881,0.2012,3.818,6.6377,1.396,262.0499,123.7589,557.1378,35.9111,19.1341,187.0787,0,0,112.303,91.2789,0,26.4659,1364.7851,41.0581,92.4299,0,27.9,180.8796,653.316,0,1.5067,8.468,18.0481,134.757,0,174.6686,99.7088,24.4482,9.4075,16.229,2.3492,181.32,1318.1962,15.916,25.3249,51.9004,89.38,6.9183,1.4739,1.9447,6.0513,211.0427,94.2664,40.4769,39.067,2.7207,0,0.0671,0.0011,0.0022,0.018,0.6118,2.5704,0.2161,0.0507,0.1419,2.9162,6.6919,0.0947,0.0274,0.1792,0.1286,0.2598,0.0442,3.9715,1.0246,1.2655,0.0123,0.0729,1.0073,32.4138,1.6581,4.8293,2.337,1.0637,0.0013,0.351,2.1385,9.086,0.5195,0.653,0.0564,5.1428,13.5962,14.4729,0.005,0.023,0.539,0.211,0.0242,0.003,0.2587,0.162,8.4565,27.6731,13.2248,6.3087,0.6531,11.461,16.6775,1.1479,28.3932,12.1784,22.892,8.7957,20.621,21.0984,2.472,27.6343,0.1626,0.668,13.437,1.1406,0.159,3.157,1.7553,3.795,1.4962,29.296,632.4072,1.382,271.419,0.0772,292.843,825.6875,48.757,0.072,9.6432,2.2102,3.3241,2.5639,0.005,0.0922,147.3536,0.288,1.085,10.008,186.0636,180.1863,0.0063,81.5421,91.1712,30.4524,0.203,1.7908,9,0,2.442,0.0062,0.003,0.013,0,0,0,9.0187
"Czech Republic",442.1722,12.7333,0.9002,12.206,1.4146,4.9748,1.5467,2.2369,0.3579,0.0244,0,0,0.0309,0.0309,0.001,14.1294,0.0035,1.1408,1.4862,3.592,0.6735,4.6175,8.454,19.7447,1.7601,0.1571,0.0633,13.668,2.7489,48.838,0.6403,0.3486,2.4538,2.9902,0.4612,229.9841,150.8789,95.2865,201.9828,11.8208,518.0914,0,0,264.6107,30.4292,0,68.5043,254.981,360.5026,20.5934,27.9,0,145.7889,722.7236,0,1.9331,8.6317,7.2051,96.5088,0,51.1043,87.9378,30.3878,2.5913,72.4854,3.802,146.9582,1183.3185,17.1314,29.4503,71.1729,58.7135,31.8534,2.3154,5.3071,0.6133,117.2303,85.3919,60.1224,44.8724,10.4963,0,0.0309,0.0962,0,0.0565,0.4141,0.7079,0.2587,0.3835,0.0926,14.0878,0.4742,0.4439,1.606,0.1273,1.8054,1.77,0.5279,3.5861,0.6528,0.2783,3.1047,0.1733,0.0586,1.6606,3.9015,0.917,0.4835,0.4352,0.094,0.1244,3.5119,0.2484,0.3768,0.0559,0.4082,12.1312,9.4722,8.1483,0.4668,0.0309,0.7241,0.1252,2.3719,0,1.1911,0.1497,4.414,0.0252,4.5476,20.4988,8.0564,26.841,21.436,0.0619,29.8745,23.9326,47.7828,7.1358,23.8691,39.0045,0.3469,10.746,0.6067,0.8583,83.0542,0.2488,0.2197,2.9075,5.9757,10.058,7.2886,10.879,545.282,4.443,231.888,0.9957,112.4545,522.4475,30.1963,0,10.9261,3.7353,0.9184,5.1451,0.0283,0.16,55.7826,0.3876,1.0964,39.3669,121.0831,15.0339,0.0007,12.5881,53.8166,11.9435,0.0643,1.2739,0,0,0,0.253,0,0,0,0,0,0.7694
"Slovakia",133.2151,0.498,3.4912,9.6269,0.1212,0.469,0.3782,0.5984,0.0066,0.0053,0.0058,0.0165,0,0.0232,0.025,5.678,0.0543,1.8326,1.8634,0.1368,0.0481,1.4722,2.4072,1.5134,0.1534,0.016,0.0375,6.9558,6.9084,19.4658,0.0355,0.0079,0.331,12.7042,0.3741,105.8322,26.2668,3.1227,18.7029,0.7384,158.9269,0,0,12.2035,92.9378,0,2.4504,151.7666,216.8237,241.5182,180.8796,145.7889,0,85.9747,0,0.6865,1.6565,3.3128,27.3725,0,16.3044,5.8229,4.3544,0.291,21.0971,3.3339,73.2971,1382.3035,4.5238,2.8837,13.5041,29.0627,11.7183,0.2212,0.122,0.3458,70.6105,40.8342,2.1771,32.3985,1.1141,0,0.0206,0.0011,0,0.0114,0.0569,0.0352,0.488,0.2359,0.0262,10.6326,0.0748,0.13,0,0.079,2.7855,0,0.0164,1.0455,0.0042,0.0384,0.1134,0.256,0.256,0.0608,0.0384,0.2632,0,0.0045,0,0.0023,0.9726,0.0005,24.735,0.006,0.3256,0.6068,0.8046,4.5329,0.0538,0.0581,0,0.1052,0.256,0.0001,0.0574,0.0004,3.8695,0.2987,2.2771,1.0845,1.0297,2.0696,18.175,0.0267,5.848,5.2787,5.6566,0.2418,7.6911,4.1841,0.0391,2.4235,0.1797,0.0158,7.1608,0.5211,1.4733,0.0115,1.5526,0.438,2.4755,5.5707,167.3798,0.1397,82.8494,0.1613,35.8553,177.3465,10.6077,0,1.1782,0.4517,4.7293,0.8069,0.0001,0.2249,12.9789,0.1243,0.1294,4.3892,32.6303,21.3395,0.0016,12.1602,24.7942,4.4204,0.1754,1.5794,0,0,0,0.4124,0,0.0001,0,9,0,0.0004
"Italy",12463.828,1188.2803,282.3295,216.2043,3.2671,31.9755,5.7878,6.4841,6.4152,0.2837,0.5305,2.9351,4.8777,4.4974,0.0339,1596.9757,11.9368,63.4383,5.0343,22.5353,5.1873,5.8904,32.4979,9.7826,492.3755,1.0673,2.9223,176.0263,37.0514,906.1301,12.9154,34.8357,223.0658,543.8333,48.4238,2305.726,2254.3089,7814.445,3208.7832,413.4503,1248.111,0,0,638.9014,2294.8835,0,2055.9418,7702.239,2526.8689,333.2109,653.316,722.7236,85.9747,0,0,367.3131,172.6564,76.169,518.9354,0,143.7804,502.6539,2837.5612,296.8087,109.1369,1.1431,4.3511,3312.7159,93.2037,66.8558,116.8889,415.2539,103.5682,22.5967,4.0738,122.4015,654.1433,1481.391,583.9733,302.4622,74.7546,0,0.7776,3.8481,22.1217,2.3683,12.6287,32.5369,20.2459,54.7017,4.9396,77.4447,18.6146,6.7522,23.0942,2.7111,63.0799,2.5798,367.7696,118.938,10.899,1.5254,2.8572,11.6961,27.8146,10.8345,34.1672,41.1884,3.1615,2.8604,5.4216,22.926,86.196,42.8817,51.42,5.0839,8.6086,65.9052,1.8125,1379.7161,11.8751,1.5647,1.0773,2.0101,35.4993,0.8599,26.5564,33.6236,310.7372,2068.8869,760.7841,2267.3089,2.1974,615.0272,1279.2137,718.453,91.7068,274.5504,663.2988,132.5159,911.7623,11.3362,66.3954,393.711,58.8276,113.836,1649.0059,126.0935,0.8579,143.3974,11.8143,9.3694,97.7895,410.1779,280.9478,11.3789,426.5055,14.5593,606.7751,464.5469,479.8023,0.257,38.2343,183.9187,6.0083,8.6017,5.9192,2.5396,408.9374,6.502,5.646,180.9418,80.3027,797.5925,7.8674,56.4834,598.6241,1050.0226,41.8442,89.6025,0.1962,0.0327,0.0052,1.1629,1.4653,0.0057,0,0,0,0.0685
"San Marino",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Malta",84.7694,19.3671,0.0424,0.0654,0.0003,0.0137,0.0911,0.3526,0.0298,0.0014,0,0.0019,0.0084,0.0013,0.0002,0.3072,0.002,0.0461,0.01,0.0532,0,0.4264,0.0915,0.4912,0.0346,0.0051,0.0008,1.4109,0.1545,11.5268,0.0496,0,3.8587,2.7543,0.085,98.6893,16.7081,46.046,36.5843,0.2682,342.4822,0,0,34.2095,48.5832,0,4.3481,20.0357,0.3417,11.5731,1.5067,1.9331,0.6865,367.3131,0,0,1.3374,0.1235,46.7267,0,0,0.2152,6.1479,0.1235,0.8586,0.005,0.7271,1.3856,0.3131,0.0177,0.6444,3.8512,0.482,1.0152,0.0083,0.1045,6.5577,4.4731,15.7502,10.2944,0.0637,0,0,0,0,0.0044,0.0001,0.0057,0.1299,0.0126,0.0004,3.5337,0.6999,0.0002,0,0.0163,0.0372,0.064,0.2092,0.0823,0.006,0.0819,0,0,0.0003,0.0204,0.0847,0.7524,0,0.0006,0.1858,3.054,0.3645,0,0,0,1.23,0.0204,0.0252,2.9326,0.0058,0,0,0.0088,0.184,0.0054,0.0455,0.0142,0.8742,0.5108,11.137,8.7233,1.5786,5.5244,17.1054,0,1.4205,0.2063,0.1473,0.3671,9.2808,1.8618,1.2682,2.645,0.2054,0.711,4.9968,1.8215,0.0089,0,0.8201,0.4017,0.0474,0,42.5525,0.0017,22.0364,0.0219,6.3687,72.0531,8.8315,0,2.1442,2.5957,0.0027,0.5264,0.3128,0.0016,2.0903,0.0156,0.0098,0.415,38.4598,73.5849,0,6.9026,2.8365,6.0968,0.0153,4.5768,0,0,0.0005,0.0025,0.0015,0,0,0,0,0
"Albania",4.5754,1.6242,9,0,9.0145,9.0017,0,0,0.0005,9.0022,0,0.0019,0,0,0.0153,0,0,0,0,0.0092,0,0.0401,9.0015,0.054,0.0363,0,0,0.0799,0.0057,0.0046,0.0053,0,0.1,0.0166,0.0073,7.8999,0.5333,7.3133,5.6682,0.0338,11.4105,0,0,8.4973,11.3168,0,0.0719,28.0767,0.019,13.8193,8.468,8.6317,1.6565,172.6564,0,1.3374,0,14.7252,8.0156,0,0.0436,14.0167,210.9723,5.3045,26.512,0.5446,6.1523,2.9774,0,0.0407,0.0359,6.3984,0.0349,0,0.1598,0,1.7839,2.4815,0.0307,0.8169,0.0117,0,0,0,0,9,9,0.0812,9,0,0,0.0049,0,9,9,9,0,9.001,0.0049,0,9,0,0,0,0,0,0,0.006,9,9,9,0,0,0,0,0,0,0.0069,0,0.8167,0,0,0,0,0.0226,0,0.0732,0,0,0.1658,0.8167,0,0,0.0654,47.7772,0,2.6356,10.9391,0.1924,0.0564,0.0073,0.2905,0.6235,0.011,0,9,0.1256,9,9,0,0,0,0,9,2.2,9,0.1089,0,0.3196,0.4516,0.4729,0,0.0726,0.8889,0,0,9,0,0.0026,9.05,9,0.489,0.4265,0,9,0,0.0352,0.0399,0,0.2583,0,0,0,0,0,0,0,0,0,9
"Macedonia",73.1079,7.6337,0.0289,0.0018,0,0.002,0.0105,0,0.0006,0.0043,0,0,0,0,0.0629,2.0741,0,0,0,0.0028,0.0459,0.1344,0.4869,7.4581,0.3365,0,0,0.7444,0.8223,14.4667,5.8405,0,0.0544,3.2856,0.0126,5.7262,3.1313,6.0826,13.1578,0.2459,24.9665,0,0,19.0071,0.6698,0,0.67,14.8725,16.1844,37.7154,18.0481,7.2051,3.3128,76.169,0,0.1235,14.7252,0,9.3953,0,12.4894,120.437,104.2932,3.0993,66.8102,0.3571,6.0026,73.2044,2.9221,0.0293,0.1688,113.1904,2.966,0.0002,0.2775,0.134,1.4332,21.4856,0.7674,5.1339,0.2897,0,0,0,0.0001,0,0,0,0,0.0836,0,0.3809,0.0219,0,0.1479,0.1256,1.6096,0,0,2.7171,0.0062,0,0.0014,0.0006,0,0.0152,0.0038,0.0304,0,0,0,0,0,0.0081,0,0.0009,0.0083,0.0162,0.063,1.4819,0,0,0,0,0,0,0.0274,0,0.0046,0,0.0384,1.6843,0.7909,5.7474,45.6247,0.0587,4.7882,1.9141,0.005,1.4164,4.4242,0.0355,0,0.3558,0.0466,0,0.7003,0,0.0001,0.0285,0,0.0078,0.0121,0.1372,10.3786,0,5.5014,0.079,14.9089,14.4523,3.7221,0,0.5977,0.1464,0,1.5559,0,0,1.2523,0.1134,0.0082,0.3056,0.4273,1.5492,0,0.1143,1.463,1.2686,0,0.1455,0,0,0.0021,0,0,0.0301,0,0,0,0
"Croatia",125.55,41.1983,2.853,0.12,0,0.0129,0.0032,0,0,0,0,0,0,0,0,0,0,0,0.136,0,0,1.7261,0.85,8.0268,0.21,0,0,13.178,4.8988,54.2236,0.0209,0,0.45,7.1011,0.0251,113.7853,3.7102,81.7568,83.5178,4.5705,296.3304,0,0,131.84,64.313,0,0.2246,753.226,29.2811,248.645,134.757,96.5088,27.3725,518.9354,0,46.7267,8.0156,9.3953,0,0,479.222,172.2817,12.7249,48.0091,6.222,1.4127,7.09,577.115,0.65,0.6625,2.4297,16.72,8.6964,0,0,2.1292,16.7009,91.7865,7.3228,65.195,0.1764,0,0,0,0,0,0,0,3.8769,0,0,0,1.35,0,182.549,0,6.9,0,0,1.923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0445,0,4.9311,0,0,0,0,0,0,0.01,0,15.534,4.3403,2.1181,22.368,0.416,24.63,21.777,14.802,15.6764,1.57,4.8,0.4613,6.66,9.5763,0.2996,1.4873,0,0,5.526,3.1808,0,0.72,0,0,0,3.22,83.8204,0,37.37,0,78.29,127.4691,20.5,0,2.9664,0,0,0,0,0,9.94,0,0,0.496,0.7956,35.872,0,0.0818,5.6013,0.3832,0,0.5092,0,0,0,0,0,0,0,0,0,0
"Yugoslavia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bosnia and Herzegovina",33.01,0.2651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0.1598,0,0,0,9.2686,0,1.2397,9.0193,0,0,0.0176,0,19.9905,4.2305,43.2566,1.9568,1.0943,41.5344,0,0,21.36,19.1626,0,5.5761,272.0246,33.1696,126.1404,174.6686,51.1043,16.3044,143.7804,0,0,0.0436,12.4894,479.222,0,0,343.6903,11.0551,0.1041,9.3114,0.0128,5.93,10.7529,0.029,0.1231,0.0119,1.98,0.3665,0,0,0.0016,4.4435,26.7689,4.6863,26.9613,0.2536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0048,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1.2896,0,0,0,0,0,0,0,0,0,10.0148,0.231,0,0,0,27.6591,0,13.3385,0,0.04,0.2138,0.96,0.2032,0,9.0158,0.1117,9,0,0,0,0,9.264,9.11,0,0,1.3269,0,0.0838,0,1.32,22.6147,0,0,0.3285,0,0,0,0,0,0,0,0,0.1309,0.1564,0,0,0.0509,0.3096,1.8222,0,0.1009,0,0,0,0,0,0,0,0,0,0
