"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Ethiopia","Zambia","Zimbabwe","Malawi","South Africa","Madagascar","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Kuwait","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","New Zealand"
"United States of America",0,896.7002,0,2.366,69.44,45.6,74,325.2,24.9,24.5,10.6,36.6,9.1,21.79,82,368.8,48.77,16.2,195.73,22.6,3.53,9,140.9,18.5,361.8,20.6,494.4,14.2846,0.7154,422.4,15.5,382.6,8.8,0,5,37,20.4,7,10,317.8,1.3,0,124.2,65.7,3.6,2,8.05,1,11.4,152.6,19.6,54.8,4.3,0.213,1.4,6.4,0.4,2,1.1,37.2,4,0.8,16,9.4,24.9,0.5,6.9,28.6,4.7,9.3,2.8,3.6,34.9,40.6,9.8,2.7,18,3,1.5,51.5,13.2,16.3,0.35,188,24.9,46.5,15,34.9,21.7,6.6,59.7,72.1,32.1,170.6,10.3,53.4,23.6,144.3,39.1,0,15,7,1,4,133,9,124.3,253.8,597.8,317,15.6,24.2,0,1,70.2,1.1,6.9,158.906,0,0,0,88.3,113.4,526.38,11.53
"Canada",896.7002,0,43.5,0.027,2.23,4.1,7.6,10,1.7,9.2,1.1,2.5,1.5,17.17,3.9,167.1,2.56,21.9,22.01,1.3,0.4,8.2,24.9,2.6,654.7,20.2,8.2,13.4275,0.6725,17.9,4.9,23,5.8,0,12.4,17.2,1.5,6.1,16,9.8,1.8,17.8,1.5,5.7,0.1,6.2,0.19,172.9,5.3,19.2,48.6,15.2,4.7,0.185,0,0,0.1,0.6,0,0,0.8,0,1.6,0.9,2.7,0.4,0,5.9,0.3,0,0,0,1.6,6.4,5.5,5.1,0,0.1,0,0.6,3.5,2.65,0.04,44.7,0.6,0.1,0.2,0.1,0.1,0,30.4,1.1,4.8,4.5,0,1.3,0.2,1.1,40.5,9,8.4,0,82.6,0,3.2,0,0.1,120.8,4.2,18.2,0.7,12.6,0,0,5,0.1,0,0.7,0,0,0,22.3,0.9,100.96,29.35
"Cuba",0,43.5,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,9,0.6,0.8,0.5,27.5,0.5,1.1,3.2378,0.1622,2.1,1.4,3.3,1.9,0,0,0,0.2,0,0,2.7,0.2,0,0.5,9.3,9,0,2.4,0,4.9,3,0,0.5,0.2,9,0,0,9,0,0,0,0,0,0,9,0,0.1,0,0,0,9.2,9,0,9,0,0,0,0,9,9,0,0,0,0,0,9,28.7,0,0,9,0,0.4,0,16.6,3.9,4.3,0.7,0,0,0,9,0,0,0,0,0,0,0,25.8,4.1,8.2,9,0,0,0,0,9,0,0,0,0,0,0,0,0.01,0
"Haiti",2.366,0.027,0,0,0.089,0.787,0.004,0.031,0.012,0.001,0.006,0.012,0.005,0,0.006,0.031,0,0.003,0.012,0,0,0.015,0.004,0,1.493,0.017,1.068,2.2951,0.1149,4.276,2.078,1.349,0.015,0,0,0.488,0.095,0.405,0.536,5.138,0,0,0.004,0,0,9.646,0.097,0,0.03,0.867,0.291,0.412,0,0,0,0.003,9,0,9,0,0,0,0.002,0,0,0,0,0,0,9,0,0,0.004,0,9,0.002,0,9,0,9,0,9,0,0.002,0.014,0.002,0,0,0,0,0,0,0,0.025,0.17,0.006,0,0.004,9,9,9,0,0.05,0,0,0,0,1.361,0.175,0,0,0,0,0,0,0,0,9,0,0,0.019,0,0.012,0.025,0.09
"Dominican Republic",69.44,2.23,0,0.089,0,0,0,0.3,0,0,0,0,0,0,0.3,0.5,0,0,0,0,0,0,2.2,0,1.18,0.2,2.01,0.1143,0.0057,0.45,0.88,2.72,0.17,0,0,0,0.69,0,0,1.41,0,9,0,0,0,0,0,0,0.2,0.18,0.45,0.26,0,0,0,9,9,0,0,9,0,0,0,9,0,9,0,0,0,0,0,0,9,0,0,9,0,0,0,9,0,0,9,0,0.1,0.3,0,0,0,9,0,0,0,0,9,0,0,0,0,0,9,0,0,9,0,0,0,4.16,1.1,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0.01,1.38
"Jamaica",45.6,4.1,0,0.787,0,0,0.9,0.1,0.2,2.7,0,0,0.1,0.11,0.3,22,0,0.2,0.2,0,0,0,0.2,0.1,7.8,1,11.6,3.2378,0.1622,5.6,0.7,0,0,0,0,0,0.2,0,0,0.4,0,0,0.4,0,0,9,0,0,0,3.6,12.6,0.7,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,9.4,0.7,0.1,0,0,0,9,0,0,0,0,0,0,0,0,0,5.16,4.4
"Trinidad and Tobago",74,7.6,0,0.004,0,0.9,0,0.1,0.4,0.4,0,0.2,0.2,0.22,30.3,120.9,0,0.1,1.71,0,0,0,0.5,0.3,10.7,1.6,4.5,2.2855,0.1145,1.3,0.1,0.2,1,0,0,9,0.1,9,9.7,0.7,0,0,0,0,0,0,0,9,0,23,0.1,0.1,0,0,9,0.1,0,0,0,0,0,0,0,1.7,0.1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.9,9,0,0,0,0,0,9,0,4.7,1.1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,5.69,4.3
"Mexico",325.2,10,1.6,0.031,0.3,0.1,0.1,0,4.2,0.9,2.9,2.2,2.8,5.75,5.3,8.8,1.24,1,1.09,0.2,0.1,15.4,0.5,0.8,24.6,0.2,8.2,5.8091,0.2909,7.3,21.5,0.9,1.1,0,0.5,57.1,0.7,0.1,2.8,5.1,0.1,0,0.5,0.1,0,0,0.02,0.6,2.6,19.3,2.5,4.3,0.1,0,9,0.6,0,0,0,0.1,0,0,0.3,0,0,0,0,0.1,0,0,9,0,0,0,0,0,0,9,0,0.1,0,0,9,1.1,9,0.5,0,2.2,0,0,0,0.2,0,11.6,9,0.6,0,1.1,0.1,9,0.1,0,2.4,0,7.7,9,0.8,105.7,0.8,0.1,0.2,1.8,0,9,1.5,9,9,9.3,0,0,0,4.4,0.1,15.72,0.5
"Guatemala",24.9,1.7,0,0.012,0,0.2,0.4,4.2,0,4.3,3.9,5.1,1.4,0,1,7.3,0.09,0.1,0.2,0,0,0.1,0.3,0.1,8.6,0.2,1,3.0474,0.1526,0.2,2.7,1.5,0.3,0,0,0,2.1,0,0,1.3,0,9,0,0,0,0,0,0,2.6,0.2,1.1,0.8,0,0,0,9,0,9,0,0,0,0,9,0,0,9,0,0,9,0,0,9,0,9,0,0,9,0,9,0.1,0,0,0,2.4,0,0,0,0,0,0.4,0,0,9,0,0,0,1.4,0.1,0.4,0,0,9,0,9,0.7,0,0.1,8.7,0.1,0.2,9,0.2,0,0,0.2,0,0,0,0,0,0,0.1,0.1,0,0
"Honduras",24.5,9.2,0,0.001,0,2.7,0.4,0.9,4.3,0,3.4,0.8,1.7,0.04,0.6,0.3,0,0.1,0.2,0,0,0,0.1,0,3,0.1,1.4,1.238,0.062,0.4,3.4,0.1,0.1,0,0.1,0.4,1.8,0.5,0.5,0.6,0,0,0,0,0,0,0,0,0.4,0.2,0.4,0.5,0,0,9,0,0,0,0,9,0,0,0,9,0,0,0,0,0,9,0,0,0,9,0,9,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,9,9,0,0,9,0,0,0.3,1.2,0.8,0,0,0.1,0,0,0,0,0,9,0,0,0,0,0,0.1,0
"El Salvador",10.6,1.1,0,0.006,0,0,0,2.9,3.9,3.4,0,3.5,0.3,2.78,0.8,8.1,0.09,0,0.1,0.1,0,0,0.1,0,7.4,0,5.8,4.6663,0.2337,1.6,0.4,0.3,0.1,0,0,1.4,0.7,0.1,0.1,2.2,0,0,0,0,0,0,0,0,1.2,2.5,0.1,0.8,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2.3,0,1,0,0.5,16.1,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0.2,0,0,0
"Nicaragua",36.6,2.5,0,0.012,0,0,0.2,2.2,5.1,0.8,3.5,0,3.7,4.29,0.8,4.3,0.07,0,0.1,0,0,0,0.2,0,2.4,0.1,1.6,3.5235,0.1765,1.3,0.3,0.2,6.1,0,0,0.1,0.8,0,0,1,0,9,0,0.1,0,0,0,0,0.2,0.5,0.1,0.4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,9,0,0,0,0,1.8,0,0,43.1,0.7,0.2,0,0.1,0,0,1.9,0,0,0,0,0,0,0.4,0,0.1,0
"Costa Rica",9.1,1.5,0,0.005,0,0.1,0.2,2.8,1.4,1.7,0.3,3.7,0,0.1,3,2.1,0.09,0.5,0.1,0.1,0,0.1,0.2,0,7.2,0,0.6,1.7142,0.0858,5.8,1.7,0.5,0.2,0,0.2,0.1,1,0.2,0.3,0.2,0,0,0.2,0,0,0,0,0,1.4,0.7,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,9,0,0,0,0,0,9,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,9,0,9,0,9,0,0,0,15.9,0.5,0.1,0,0,0,0,0.1,9,0,9,0,0,0,0.1,0,0,0
"Panama",21.79,17.17,0,0,0,0.11,0.22,5.75,0,0.04,2.78,4.29,0.1,0,5.73,38.8,0.2,0.67,0,1.1,0,3.27,1.08,0.3,0.19,0.9,2.33,2.3522,0.1178,1.77,0.93,0.16,0,0,0.11,0.11,0.29,0,0.11,0.89,0,9,6.9,0.2,0,0,0,0,0.09,2.14,0.98,5.8,0.11,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,9,0,0,0,0,0.44,9,0,0,0,0,0,0.3,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.22,0,0.2,4.67,0.44,0,0,0,0,0,0,0,9,0,0,0,0,0.56,0.44,0.33,1.1
"Colombia",82,3.9,0,0.006,0.3,0.3,30.3,5.3,1,0.6,0.8,0.8,3,5.73,0,2.3,2.21,0.2,2.11,0.6,0.2,1.6,3.4,5.6,3,0,17.8,8.7612,0.4388,1.5,0.1,20.1,0.1,0,1.5,1.8,1.7,0.5,0.3,4.3,0,0,0.1,0,0,0,0,0.3,0.5,11,3.5,0.7,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0.1,9,0.1,0,0.2,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,9,0,0,0.6,9.8,0.2,0.1,0,0,9,0,0,0,9,0.6,0,0,0,0.1,0.2,0.19,0.1
"Venezuela",368.8,167.1,0,0.031,0.5,22,120.9,8.8,7.3,0.3,8.1,4.3,2.1,38.8,2.3,0,10.3,1.4,87.1,0,0.3,12.6,22.3,12.9,121.5,0.5,0.2,10.9515,0.5485,7.4,31.6,26.6,2,0,1.5,0.4,6,0.3,3.7,51.7,0.1,9,1.2,0.2,0.1,0,0,0.1,0.2,46.1,24.9,11.3,0.3,0,0.5,0.2,0.3,9,0.3,3.2,0.1,9,0.9,0.3,0.6,0.6,1.3,4.3,0.8,0.5,9.1,0.9,1.4,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0.1,0.3,0.3,0.1,0,0,0,0,0,0.3,0,9,0,0,0.7,0,0,0,0.4,46.3,0.3,0.1,0,0,0,0,0.1,0,0,0,0,0,0,2.7,6.7,2.08,1.33
"Ecuador",48.77,2.56,0,0,0,0,0,1.24,0.09,0,0.09,0.07,0.09,0.2,2.21,10.3,0,3.6,0.21,0.09,0.03,1.95,1.86,0.17,8.75,0.04,1.37,0.3143,0.0157,2.02,1.68,0.32,0.24,0,0.36,0.27,3.92,0.14,0.62,3.29,0,9,0.05,0,0,0.02,0,0,0.57,0.6,1.32,0.29,0.2,9,9,0,9,0,0,0,0,0,0.07,0,0,0,0,9,0,9,0,0,9,9,0,9,0,9,9,0,0,0,9,0.15,9.01,0.09,0,0.01,0,0.02,0.05,0.01,0,0,0.09,0.02,0,0.05,0,0,0,0,0.15,0,0.02,9,0,3.95,0.4,0,0,0.19,0,9,0.09,0,0,0,0,0,0,0.28,0.46,0.38,0.01
"Peru",16.2,21.9,0,0.003,0,0.2,0.1,1,0.1,0.1,0,0,0.5,0.67,0.2,1.4,3.6,0,4.45,1.7,0.5,17,25.9,0.7,9.1,1.7,12.7,11.142,0.558,15.3,3.8,14.4,0.6,0,8.3,3.9,3.1,1.4,0.4,6.8,0.4,0,3.7,0.4,0,1,0.6,0,0.6,5.8,2.9,2.2,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0.1,0,0.2,0,0.1,0,0,0,0,0,0,0,0,0.1,0.4,0,0.6,0,0,0,0,0.7,0,0.1,0,0.3,59.1,0.8,3.2,0,1.2,0,0,0,0,0,9,0,0,0,0.9,1.1,0.31,1.6
"Brazil",195.73,22.01,0,0.012,0,0.2,1.71,1.09,0.2,0.2,0.1,0.1,0.1,0,2.11,87.1,0.21,4.45,0,1.66,1.306,9,17.09,4.26,45.04,2.6,38.3,29.8262,1.4938,45.98,2.86,20.63,3.24,0,5.3,3.4,15.99,7,6.05,60.85,0,9,9.14,7.24,0.4,4.23,3.28,9.2,13.74,40.85,14.34,26.95,0.8,0.02,0,0.8,0,0,0,4.6,0.2,9,0.1,0.4,0.9,0.44,0.1,1,0,0,9,0,0,0,0.6,0,0,0,0,0,0.99,0.09,0,7.75,0.9,2.7,0.4,5.06,0,0,0.4,1.1,28.74,1.7,2.4,2.7,0.7,0.27,11.45,0,17.16,0,0.4,9,1.5,0,0.4,9.22,0.02,0.4,0,0,0,0,3.59,0,9,0.2,0,0,0,0.4,0,4.73,0
"Bolivia",22.6,1.3,0,0,0,0,0,0.2,0,0,0.1,0,0.1,1.1,0.6,0,0.09,1.7,1.66,0,0,1.1,6,0.3,38.1,0,3.9,0.5714,0.0286,1,2,0.4,0.2,0,0.1,0.1,0.4,9.4,1.4,2.1,0,0,0,0,0,9,0,0,0.1,1.1,0.2,0.9,0,0,0,9,0,0,0,0,9,0,0,9,0,0,0,9,0,9,0,0,0,0,0,9,0,0,0,0,0,9,0,0.2,9,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,9,0,9,0,0,0.1,0,0,10.5,0.4,0,0,0.2,0,0,0,0,9,0,0,0,0,0,0,0,0
"Paraguay",3.53,0.4,9,0,0,0,0,0.1,0,0,0,0,0,0,0.2,0.3,0.03,0.5,1.306,0,0,1,8.777,2.584,1.767,0.1,0.779,1.0571,0.0529,2.811,0.225,4.372,0,0,9,9,0.4,9,9,3.849,0,0,0,0.2,0,0,9,9,0,1.546,0,0.2,0,0,9,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,9,0,9,9,0,0,0,0,0,0,0,0,0,9,0,2.929,0.1,0,9,0,0,0,0,0,9,0,0,0,0,0.2,0,0,0
"Chile",9,8.2,0.6,0.015,0,0,0,15.4,0.1,0,0,0,0.1,3.27,1.6,12.6,1.95,17,9,1.1,1,0,22,0.6,48.8,0.2,1.4,9.1421,0.4579,8.7,3,4.4,0,0,0,0.5,0.6,0,1.1,7.3,0,0,0.7,0,0,0,0,0,2,31.4,2,6,0,0,0,0,9,0,0,0,0,9,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0.12,0,0,0,0.3,0,2.7,0,0,0,0,0,0.3,0,0.4,0,0.1,0,9,0,0,6.3,0,0,0,0,122.5,1.2,1.7,0,0,0,0,0,0,0,9,0,0,0,0,0,0.44,0
"Argentina",140.9,24.9,0.8,0.004,2.2,0.2,0.5,0.5,0.3,0.1,0.1,0.2,0.2,1.08,3.4,22.3,1.86,25.9,17.09,6,8.777,22,0,3.6,127.7,8.3,67.5,44.6632,2.2368,46,2.2,45.6,4.2,0,3.7,5.9,2.7,7.8,0.8,199.7,0.1,9.1,9.8,10.6,0.7,0.6,1.17,64,11.7,9.5,10.9,6.6,0.1,0.005,0,0.3,0,0,0,0,0,0,0.2,0.1,0,0,0,10.9,0,0,0,0,0,0.3,0.1,0.1,0,0.1,0,0,0,0.2,0,0,0,0.1,1,0.1,0,0,8.5,0.1,13.8,0.2,0.1,1.1,0,9.4,0.5,0,0,0,83.4,0,0.3,0,0,3.7,14.7,5.7,0,0.1,0,0,0.1,0,0.1,9.3,0,0,0,2.2,0,0.98,0.1
"Uruguay",18.5,2.6,0.5,0,0,0.1,0.3,0.8,0.1,0,0,0,0,0.3,5.6,12.9,0.17,0.7,4.26,0.3,2.584,0.6,3.6,0,21.1,0,5.9,2.2855,0.1145,9.2,1.3,14,0.1,0,1.1,1,1.5,0.5,1.1,8,0,0,3.7,6.5,0,0,0,4.1,0.8,1,0,0,0,0,9,0,9,9,0,0.1,0,9,0.3,0,0.2,0.1,0,0.3,0,0,0,0,0.3,0.1,0,0,9,0,9,9,0,0,9,0.9,0,0,1.1,0.2,0,0,0,0.2,0,1.2,9,0.2,0,0.7,0.6,9,6.2,9,0.1,9,0.2,0,0,0.5,1.6,0.4,9.1,0.2,0,9,0,0,0,9,0,0,0,0,0,0.5,0.1
"United Kingdom",361.8,654.7,27.5,1.493,1.18,7.8,10.7,24.6,8.6,3,7.4,2.4,7.2,0.19,3,121.5,8.75,9.1,45.04,38.1,1.767,48.8,127.7,21.1,0,49.4,273.4,133.0372,6.6628,11.6,29.8,69.5,3.8,0,11,65.2,46.2,2.6,8.1,65.4,30.3,0.3,21,72.2,18.4,4.3,16.9,204.4,104,41.3,29.4,78,8,2.817,0.3,1.4,1.1,18.3,1,8.4,1.1,0.1,12.3,40.6,67.3,1.8,5,77.9,1.9,0.2,2.3,8.6,20.4,19.7,25,7.7,5.5,0.2,3,9.6,154.4,28.28,3.15,165,0.8,20.2,30.5,0.5,159.2,27,3.6,4.7,147.6,27.5,12,28.2,17.1,96.1,46,0.3,200.5,7.3,10.8,0.8,1.2,0,2.7,56.1,29.2,77.9,4.6,63.2,9,0.4,50.4,4.5,2.8,0.9,0,0,0,25.3,16.3,365.5,192.15
"Ireland",20.6,20.2,0.5,0.017,0.2,1,1.6,0.2,0.2,0.1,0,0.1,0,0.9,0,0.5,0.04,1.7,2.6,0,0.1,0.2,8.3,0,49.4,0,12.5,12.38,0.62,11,0.9,1.5,1.7,0,2.6,7,1,0.2,0.9,7.1,0.3,0,0.6,0.8,0.3,0.1,0.4,1,14.7,12,2.7,9.5,1.1,0.013,0,1.3,0,0,0,0.9,0,0,0,0.6,3.3,0,0.1,0.7,0,0,0,0.1,0.1,0.7,1.1,1.1,0,0,0,0.1,0.1,0.89,0.5,3.8,0,4.4,1.3,1.4,0.2,0.6,21.9,0.6,12.6,0.3,0,0.5,0.1,2.2,4.6,9,0.6,0,1.2,0,0.1,0,0,9.2,9.9,2.9,0.1,2.7,0,9,0.8,0,0,0.6,0,0,0,0.4,0.6,8.9,2.8
"Netherlands",494.4,8.2,1.1,1.068,2.01,11.6,4.5,8.2,1,1.4,5.8,1.6,0.6,2.33,17.8,0.2,1.37,12.7,38.3,3.9,0.779,1.4,67.5,5.9,273.4,12.5,0,475.8674,23.8324,62.2,20.6,77.1,9.3,0,12.9,2.1,3.1,1.8,12.6,11.3,5,0.1,11.2,22.2,2.6,8.1,4.66,23.6,32.8,31.2,50.8,89.5,4.9,0.183,0.2,3.3,1.1,3.1,1.3,2.9,0.3,0.5,1.3,3,13.6,1.5,18.4,14.7,1.7,0.8,0.5,1.8,2.9,2.1,1,2.2,0.6,0.3,0.3,2.4,0.6,3.13,1.54,28.5,2.3,3.6,5.7,11.1,59.6,2.4,54.7,3.4,2.4,4.2,75.8,14.8,4.4,18.5,23.9,0.3,77.3,0.9,6.5,0,1.5,3.7,1.1,17.8,22.8,8.1,6.2,5.1,0,0,3.4,1.4,0.1,1.2,0,0,0,0.3,87.6,38.33,2.02
"Belgium",14.2846,13.4275,3.2378,2.2951,0.1143,3.2378,2.2855,5.8091,3.0474,1.238,4.6663,3.5235,1.7142,2.3522,8.7612,10.9515,0.3143,11.142,29.8262,0.5714,1.0571,9.1421,44.6632,2.2855,133.0372,12.38,475.8674,0,0,128.8471,35.8068,44.3775,14.2846,86.564,13.5228,0.2857,14.5703,2.9521,1.9998,42.3777,0.7618,0.0952,1.8094,32.7593,2.7617,2.0951,2.1522,22.5697,15.9988,21.046,25.7123,53.9006,0,0.0381,0.9523,2.476,0.7618,6.4757,0.5714,0.9523,1.9046,0.3809,9.9992,0.2857,5.7138,1.9998,0.6666,11.0468,0.0952,0.3809,1.9046,1.6189,93.2308,5.3329,4.6663,1.6189,1.7142,2.5712,0.1905,1.1428,1.0475,4.0378,0.0762,27.6169,0.6666,11.9038,3.0474,13.9037,26.3789,2.3808,74.3751,13.9989,0.2857,1.7142,1.9046,3.9045,3.5235,2.8569,1.0475,0,42.5681,0.1905,2.2855,10.0475,1.3332,0.6666,0.3809,19.2366,3.5235,7.3328,0.0952,2.1903,9,0.1905,0.8571,0.3809,0,0,0,0,0,1.9998,11.8086,24.8838,25.6266
"Luxembourg",0.7154,0.6725,0.1622,0.1149,0.0057,0.1622,0.1145,0.2909,0.1526,0.062,0.2337,0.1765,0.0858,0.1178,0.4388,0.5485,0.0157,0.558,1.4938,0.0286,0.0529,0.4579,2.2368,0.1145,6.6628,0.62,23.8324,0,0,6.4529,1.7933,2.2225,0.7154,4.3353,0.6772,0.0143,0.7297,0.1478,0.1002,2.1224,0.0382,0.0048,0.0906,1.6407,0.1383,0.1049,0.1078,1.1303,0.8012,1.054,1.2877,2.6994,0,0.0019,0.0477,0.124,0.0382,0.3243,0.0286,0.0477,0.0954,0.0191,0.5008,0.0143,0.2862,0.1002,0.0334,0.5532,0.0048,0.0191,0.0954,0.0811,4.6692,0.2671,0.2337,0.0811,0.0858,0.1288,0.0095,0.0572,0.0525,0.2022,0.0038,1.3831,0.0334,0.5962,0.1526,0.6963,1.3211,0.1192,3.7249,0.7011,0.0143,0.0858,0.0954,0.1955,0.1765,0.1431,0.0525,0,2.1319,0.0095,0.1145,9.0525,0.0668,0.0334,0.0191,0.9634,0.1765,0.3672,0.0048,0.1097,9,0.0095,0.0429,0.0191,0,0,0,0,0,0.1002,0.5914,1.2462,1.2834
"France",422.4,17.9,2.1,4.276,0.45,5.6,1.3,7.3,0.2,0.4,1.6,1.3,5.8,1.77,1.5,7.4,2.02,15.3,45.98,1,2.811,8.7,46,9.2,11.6,11,62.2,128.8471,6.4529,0,295.6,195,41,0,53.2,4.4,50,4.8,8.7,8.3,4.1,0.2,27,79.4,6.7,16.4,25.35,74,1.1,28.2,46,44.6,0.5,0.416,8.3,27.9,9.8,1.6,0.3,23.9,9.5,14.3,19.1,5.1,8.6,0.5,3.3,13.8,29.7,6.9,5.2,32.5,19.3,0.8,3.3,1.5,0.9,0.3,0.2,3.4,43.9,3.26,0.46,20.8,39,64.7,57.9,61.8,93.2,5.3,76.9,6.5,178.4,30.6,1.6,42.5,4.9,22.9,37,0.5,144.5,0.2,16.4,0.3,0.4,4.3,9.6,3,8.6,6.7,1.3,2.8,0,0.1,4.3,11.4,1.5,5.3,0,0,0,0.3,4.6,50.38,53.28
"Switzerland",15.5,4.9,1.4,2.078,0.88,0.7,0.1,21.5,2.7,3.4,0.4,0.3,1.7,0.93,0.1,31.6,1.68,3.8,2.86,2,0.225,3,2.2,1.3,29.8,0.9,20.6,35.8068,1.7933,295.6,0,53.6,20.9,0,0.7,1.4,6.5,9.2,0.8,199.5,0.3,0.2,10.4,15.1,0.5,4.9,7.58,3.3,29.2,15,22.3,35.9,0.9,0.082,0.1,0.8,0,0,0.6,1.1,3,0,1,0.1,0.3,0.4,0.4,9.7,0.2,0.1,0,1,0.1,1.8,0.4,0.5,0,0.1,0,0.8,5.3,2.8,0.11,33.9,0.1,0.9,1.1,0.7,12.7,1.1,8.2,2.8,5.9,10.2,4.5,7.9,1.2,14.5,1.9,0.1,5.9,0.6,5.6,0.1,2,0.2,0.5,20.5,18,10.1,0.6,1.3,9,0.1,6.3,1.2,0.1,0.9,0,0,0,2.8,2.6,40.52,8.56
"Spain",382.6,23,3.3,1.349,2.72,0,0.2,0.9,1.5,0.1,0.3,0.2,0.5,0.16,20.1,26.6,0.32,14.4,20.63,0.4,4.372,4.4,45.6,14,69.5,1.5,77.1,44.3775,2.2225,195,53.6,0,7.1,0,4.7,10.3,7.7,0,2.7,149,0.6,0,0.2,0.6,6.8,4.2,1.81,19.1,8.7,45.5,0.8,19.6,2.2,0.75,0.1,0.2,0,0.3,0.1,4.9,3.7,0.1,5.7,0.4,1.9,0.4,2.9,6.1,1.1,0.1,0.4,0.1,3.4,1.3,1,1.1,0.1,0,0,0.5,4.2,3.07,0.8,12.3,1.2,27.1,0.5,1.7,33.9,1.7,3.7,8.2,32.2,8.3,0.6,0,0.2,6.4,94.2,0,24.1,0,1.8,0,0.5,0,0.1,12.7,0.9,5.7,0,2.5,0,0,4.7,0.8,0,0.6,0,0,0,4.2,0.2,2.34,3.4
"Portugal",8.8,5.8,1.9,0.015,0.17,0,1,1.1,0.3,0.1,0.1,6.1,0.2,0,0.1,2,0.24,0.6,3.24,0.2,0,0,4.2,0.1,3.8,1.7,9.3,14.2846,0.7154,41,20.9,7.1,0,0,0.3,2.9,0.9,0.6,1.4,30.7,0.16,0,0,1,1.9,0,2.01,0,0.8,1.3,1.4,3.4,1.4,3.65,0,1,0,0,0,0,0,0,0,0,0,0,0,14.1,0,0.2,0.1,0,2.8,0,0,0,0,0,0,0,1.4,2.46,0.22,0.9,0.2,2.2,0,5.2,0,1,2.4,14.8,25.6,1.1,0.3,1.3,1.1,2.8,0.3,0,0.6,0,0.2,0,0,0,0,4,0,3.6,0,0.2,0,9,1.8,0,0,5,0,0,0,1.4,0.1,0.85,3
