"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Dominica","Grenada","St. Lucia","St. Vincent and the Grenadines","Antigua & Barbuda","St. Kitts and Nevis","Mexico","Belize","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Monaco","Liechtenstein","Switzerland","Spain","Andorra","Portugal","Germany","Poland","Austria","Hungary","Czech Republic","Slovakia","Italy","San Marino","Malta","Albania","Macedonia","Croatia","Yugoslavia","Bosnia and Herzegovina","Slovenia","Greece","Cyprus","Bulgaria","Moldova","Romania","Russia","Estonia","Latvia","Lithuania","Ukraine","Belarus","Armenia","Georgia","Azerbaijan","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Djibouti","Ethiopia","Eritrea","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Namibia","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","Turkmenistan","Tajikistan","Kyrgyzstan","Uzbekistan","Kazakhstan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Brunei","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Vanuatu","Solomon Islands","Fiji","Marshall Islands","Federated States of Micronesia","Samoa"
"Grenada",35.3999,4.0168,1.6791,0.0017,0.0049,0.2626,1.993,27.9726,1.9468,0.3857,0,0.6851,1.3329,0.2395,0.3595,0.4149,0.0582,9.487,1.1901,0.0139,0,0.0102,0.1247,0.0978,2.6211,1.2277,0,9.0033,0.1098,0.9214,0,0.0004,0.0135,0.0885,0.005,8.0632,0.5368,0.233,0.0281,0.0019,0.8442,0,0,1.2173,0.0911,0,0.0194,0.2019,0.0241,0.0061,0.0177,0,0.0026,0.3567,0,0.0011,0,0,0,0,0,0.523,0.004,0.0244,0,9,0.056,0.1,0,0,9,0,0,0,9,0,0.0298,0.0641,0.2452,0.8489,0.024,0,9,0,0,0,9,0,0,0,0,0,0,0,9,9.0001,0,9.0393,0,9.0003,9,0,9,0,0,9,9,0,9,9,0,0,0,0,9,9,0.0004,0.0961,9,0,9,9,0,0.0001,0.1037,0,0,9,9,0.09,0,0,9.0591,9.0003,0.075,9,0.0103,0.0138,0,0.0559,0.0174,0,0,9,9,0,9,0,9.001,0,0,9,0,0,0.8044,0,0.7412,9.3185,0.6026,4.7227,0.0944,9,9.0028,0.0003,0,0,9,0,0.0474,9,9,9.0001,0.0841,9.187,9,0.0005,0.0542,0.048,0,1.1424,0,9,0,0,0,9
"St. Lucia",88.7542,9.9318,0.0707,0.0009,0.0131,0.6842,3.2191,27.9157,6.838,0.9534,0.6851,0,6.3666,0.2106,0.421,1.4367,0.2326,0.1716,1.5924,0.0003,0,0.0445,0.5677,2.3735,1.6271,1.3375,0.0419,0.0078,0.0113,2.5525,0.0019,9,0.093,0.6874,0.027,42.8572,0.5811,2.4387,2.0031,0.1369,7.6142,0,0,1.0373,0.0109,0,0.0547,1.3283,0.0584,0.2749,0.0775,0,0.0078,0.7127,0,0.0083,0,0,0,0,0,0,0.0063,0.0078,0.0259,0,0.0649,9,0,9,0,0.0091,0,0,0,0,0.3235,0.4234,0.2323,0.7204,0.0099,0,0,0,0,0,0.0151,0,9,0.0006,0.0001,0,0,0,0,0,0,0,0,0.0003,0,0,0,0,0,0,0,0.0003,0,0,0.0116,0,0,0,0,0,0,0.0064,0.0001,0.0001,0.0007,0,0,0.0004,0.0013,0.0036,0,0,0,0,0.0011,0,0,0.0842,0.1744,0,0.0001,0,0,0.0004,0.1093,0.009,0.0001,0,0,0,0,0,0,0,0,0,0,0,3.737,0,4.1036,0.4375,2.5129,16.555,0.5276,0,0.0072,0.0002,0,0.1315,9,0,0.9703,0.0002,0,0.0036,0.6375,0.6533,0,0.031,0.6264,0.3748,0,1.0704,0,0,0,0,0,0
"St. Vincent and the Grenadines",44.8785,4.5641,0.0058,0.118,0.084,0.029,1.4567,14.7061,2.2002,2.0813,1.3329,6.3666,0,3.4038,1.7366,0.1456,0.0374,0.1998,0.5912,0.0009,0,0.0304,0.0586,0.3072,0.7167,0.9434,0.0005,0.123,0,2.661,0.0055,0.0004,0.0034,0.2624,0.002,23.0546,0.2094,1.4141,0.3744,0.0256,9.4513,0,0,0.5528,0.4763,0,0.3357,7.0271,0.0555,0.0166,0.0153,0,0.0804,9.5595,0,0,9,0,0,0,0,0,11.2379,0.0053,0,0,0.0416,0,0.0002,0,0,0,0,0,0,0,0.0049,0.1283,0.1215,0.6737,0.0067,0,0,9,0,0.0039,0,9,0,0,0,0.3405,0,0,9,0,0,9.1023,0,0,0,9,0,0,0,0,0,0.0006,0,9,0,0,9,0,9,9,9,0.0328,0,9,0,0,9,0.0001,0.001,0,0,9,0,0,0,0,0.0228,9,0.0301,0,0,9,0,0,0.0279,9,9,0,9,0,0,0,0.0017,0,0,0,0,0,1.1028,0,1.6331,0.0939,0.242,13.2879,1.0981,9,0.0612,0.0045,0,0.021,0,0,0.5067,0,0,0,0.0977,4.7462,0,0.0347,0.1878,3.7682,0,0.0985,0,9,9,0,0,0
"Antigua & Barbuda",56.6,6.8922,0.0265,0,0,0.096,3.3727,0,3.103,1.377,0.2395,0.2106,3.4038,0,0,0,0.0555,9,0,0,0,0.1299,0,3.881,0,1.1289,0,0,0.0165,1.692,0,9,0,0.068,9,22.7109,3.6893,0.6264,0.1966,0.0134,1.0466,0,0,0.6732,0.275,0,0.1705,2.6409,0,0.2821,0,0,0.1233,3.3796,0,0,0,0,0,0,0,0.075,1.765,0,0,0.095,9,9,0,0,0,0,0,0,0,0,0.0706,0.1427,0.8557,0.9462,0,0,0,0,0,0,0,0,9,0,0,0.0959,0,0,0,9,0.0036,9.0432,0,0.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1725,0,0,0,0,0,0,0.0063,0,0,0,0,0,0,0,0,0,0,0,0.0032,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.942,0,0,0,0,0,0,0,0,0.9081,0,0,0,0,0,0,0,0,0.0223,0,0,0,0,0.0455,0,0.1801,0,0,0,0,0,0
"St. Kitts and Nevis",36.59,1.2028,0.0116,0,9,0,2.2519,0,2.9001,0.6906,0.3595,0.421,1.7366,0,0,0,0,0,0,0,9,0.0199,0,0.1604,0,0.3724,0,0,0.0341,2.354,0.0276,9,3,0.1122,0,3.2064,0.2859,0.2872,0.0187,0.0013,0.8289,0,0,0.0678,0.011,0,0,13.7633,0.0334,0.0316,0,0,0.0338,1.855,0,0,0,0,0,0,0,0,9.0891,0,0,1.981,0,0,0,0,0,0,9,0,0.014,0,0.0005,0.1566,8.2155,1.1489,0,0,0,0,0,0,0,0,9.0064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0061,0,1.1652,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0407,0,0.0372,0,0,3.8196,0.0302,0,0,9,0,0,0,0,0,9,0,0,0.0069,0,0,0.0409,9,0.124,0,0.1043,0,0,0,0,0,0
"Mexico",10451.481,1651.7826,30.3303,65.7272,10.5479,219.6513,45.4806,23.1432,0.759,0.0169,0.4149,1.4367,0.1456,0,0,0,23.1755,101.1352,29.3564,96.464,16.56,88.1084,2.216,167.298,13.4288,0.3157,1.2235,18.3267,70.0469,949.9666,4.9618,8.943,66.7772,39.5858,1.907,399.1454,149.524,98.8905,75.4795,5.1605,704.4135,0,0,510.9596,259.517,0,69.8751,2633.4161,75.7565,66.5641,1.5857,0,0.2558,782.7262,0,0.383,0,1.112,0,0,0,1.354,12.0222,0.2128,7.1588,0,3.3842,13.4,0.0168,0,0,133.5378,0.615,0,9,0,38.7171,261.8126,26.669,119.5934,1.0636,0,0,0,0,0,0,0.7475,0,0,0.0283,0.3963,0,0.1637,0.3773,0,0,0,6.1519,1.7391,0,0,0,0.009,0.1903,0,1.0793,0,0,0,0,0,0,0,0,0.0277,0,7.255,0,0,9,0,0,0,0.4677,0,0,0,45.0016,5.898,1.0919,1.6698,0,11.0121,10.8925,0.0253,1.1477,0,2.6785,0.953,45.7398,11.9057,0.0007,4.4539,0,0,0,0.1497,0,0,0,0,0,0,263.7662,0,702.3036,0,570.8515,2627.3237,60.858,0,14.081,0.781,0,25.5977,0.0002,0,90.8487,0,0,0,213.0997,134.5657,0,46.2686,157.3587,49.4165,0,159.8271,0,0,0,0,0,0
"Belize",102.558,4.0031,0.0032,0.001,0,0.0896,1.7481,0.9588,1.263,0.69,0.0582,0.2326,0.0374,0.0555,0,23.1755,0,9.0199,0.2475,1.836,0.151,0.9476,0.7865,0.59,5.659,0.0245,0.0078,0.007,0.006,1.766,0,0,0.052,0.049,0,36.3106,1.2185,5.4799,0.0187,0.0013,0.1599,0,0,0.41,4.4177,0,0.093,0.0039,0.2085,1.12,0,0,0.0015,1.1747,0,0,0,0,0,0,0,0.065,0.077,0.035,0.0015,0,0.07,0.051,0.0018,0,0,0,0,0,0,0,0.0543,0.3551,0.027,1.6725,0,0,0,0,0,0,0,0.4414,0,0,0,0,9,0.0038,0,0,0.0083,0,0,0,0,9,0,0,0,0,0.0005,0,0,0,0,9,0,0,0,0,0,0,0.0005,0.067,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0.003,0,0,0,0.0006,0,0.0855,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5045,0,3.6965,0,1.202,1.0127,0.3223,0,0.061,0.3077,9,0.013,0,0,0.4135,0,0,0,0.2837,0.4445,9,0.019,0.105,0.3545,0,0.3905,0,0,0.0005,0,0,9
"Guatemala",102.0287,7.1541,0,0,4.9589,12.9532,0.868,1.8879,4.171,0,9.487,0.1716,0.1998,9,0,101.1352,9.0199,0,55.4196,67.7958,63.1189,38.0166,17.6691,20.6578,127.9416,0,1.6403,15.2631,13.1988,50.3565,0.2228,0.0101,4.892,18.5223,0.2181,12.0267,4.9713,9.5983,8.0403,0.5497,4.2096,0,0,11.531,13.0282,0,3.3829,20.5326,0.1302,2.3418,0.165,0,0.3133,19.7324,0,0.0197,0,0,0,0,0,0.121,0.0968,0.0638,0,0,2.6501,4,0.0026,9,0,0,9,0,0,0,8.8309,7.0567,0.3792,0.8869,0.0946,0,0,0,0,0,0,0.0012,0.0039,9,9,6.573,0,0,0,0,0,9,0,3.1716,9,0,0,9,0,9,0,0,9,0,0,0,0,0,9,9,0,0.0004,0,0.7761,0,9,0,0,0.0106,0,0,0,0.558,0,0,0,0,0.0228,0.0356,9,0.1189,1.4225,0,1.3927,3.1027,20.45,0.0455,2.0453,0,9,0,1.1743,9,0,0,0,0,0,1.8027,9,39.0599,0,18.9973,100.5599,2.1765,9,0.2789,5.9132,9,1.1069,0,0,1.0016,0,0,0,0.8108,7.3815,0,0.1598,1.0662,0.6869,9,3.5122,0,9,0,0,0,0
"Honduras",396.6,1.5681,0,0,0,0.65,0,2.7214,1.904,0,1.1901,1.5924,0.5912,0,0,29.3564,0.2475,55.4196,0,15.91,10.8,44.4869,6.3358,15.336,11.2621,0,0,1.1,2.9508,24.6593,0.0409,0.095,2.206,1.306,0.021,8.1394,1.0541,9.795,2.7799,0.1901,4.3176,0,0,1.503,33.5947,0,8.0043,89.2625,1.497,11.319,0,0,5.8345,0.7609,0,0,0,0,0,0,0,0.115,4.867,0.002,0,9,0.2,0.8,0.0249,0,0,0,0,0,0,0,4.4778,1.7997,0.6009,2.5981,0.2589,0,0,0,0,0,9,0,0,0,0,0.0984,0,9.0001,0,9,0,0,0,0,0,9,0,0,0,9,0,9,9,0,0,0,9,0,0,9,0,0.0005,0,0,0,0,0,0,0,0,0,0,6.54,0.016,0,0,0,0,0.176,0,0,0,0,0.2269,1.8,0.517,0,0,0,9,0,8.7639,0,0,0,0,0,0,20.945,0,0,0,46.8,18.6749,0.5555,0,0.2718,0.5278,0,0,0,0,0.694,0,0,0,1.5574,46.7096,9,0.179,1.9609,0.0578,9,0.2416,0,9,0,0,0,9
"El Salvador",342.699,5.4971,0.307,0.3181,1.5005,6.4901,0.4455,3.6334,0.039,0,0.0139,0.0003,0.0009,0,0,96.464,1.836,67.7958,15.91,0,17.726,0.0647,54.1952,7.416,86.8601,0.0138,0,4.681,3.4309,24.3809,0.056,0.1325,4.884,6.623,0.787,5.5511,1.932,4.1392,7.4693,0.5107,6.6954,0,0,14.2735,12.3942,0,0.7651,4.11,0.025,8.3073,0.07,0,0.8304,17.0006,0,0.3876,0.0008,0,0,0,0,0.001,0.049,0.0039,0.0239,0,0.4287,10.7,0.0026,0,0,0,9.322,0,0,0,1.1147,5.2854,0.2081,1.1008,0.0577,0,0,0,0,0,0,1.4495,0,0,9,0,0,9,0,0,0,0,0,0.0091,0,0.0481,0,0,0,0,0,0,9,9,0,0,0,0,0.1685,0,0,0.0624,0,1.253,0,0,0,0,0,0,0,9,4.7,0.054,0,0,0,0,0,0,3.1396,0,0,0,0.3724,0.4,0.0979,0,0,0,0,0,0,0,0,0,0,0,0.0924,0,20.914,0.0842,19.3415,87.2544,0.65,0,0.0814,9.0754,0,0.4748,0,0,0.051,0,0,9,1.5084,2.363,0,0.104,3.0199,0.0247,0,6.362,9,0,0,0,0,9
"Nicaragua",61.7,7.9889,0,2.2771,0,0.1589,0.1532,0.4824,0,0,0,0,0,0,9,16.56,0.151,63.1189,10.8,17.726,0,28.4512,26.8399,5.116,91.9174,0,0,0.2,0.0427,5.1428,0.0078,0.0308,0.409,6.757,0.023,1.1208,1.2157,0.3847,4.0623,0.2777,0.0047,0,0,1.7109,3.2239,0,4.3355,8.9587,0.422,2.4114,0,0,1.6363,2.6658,0,0,0,0,0,0,0,0.081,0.19,0.0819,2.4135,0,0,2.2,0.001,0,0,0,0.097,0,0,9,4.2349,1.0613,3.4033,0.5184,0,0,0,0,0,0,9,0.0018,0,0,0,0,9,9.0002,9,0,0,0,0,0,9,0,9,0,0,9,9,0,9,0,0,0,0,0,9,0,0,0.0025,9,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0.131,9,0.0032,0,0,0,0.4,0,9,9,0,0,0,0.013,0,0,9,0,0,0,15.77,0,0,1.4258,3.6,58.4418,0.7256,9,0.021,9.01,0,0,9,0,0.004,0,9,0,2.3221,0,0,0,0.1341,0.3089,9,0.203,0,0,0,0,0,9
"Costa Rica",188.6653,77.9185,0.213,2.5382,0.8519,14.0116,6.6771,4.8995,1.0525,0,0.0102,0.0445,0.0304,0.1299,0.0199,88.1084,0.9476,38.0166,44.4869,0.0647,28.4512,0,10.511,77.6906,99.8672,0.0691,0.312,3.2999,2.2879,112.201,0.1548,0.116,8.7316,3.8622,0.096,30.5477,3.3426,48.9874,6.8796,0.4704,91.1945,0,0,3.9667,7.7678,0,12.1183,122.6813,16.3163,35.1356,6.3749,12.1645,2.3913,29.6977,0,1.0552,0,0.191,0.0105,0,0,0.307,4.4042,0.4124,0.024,0,0.1637,4.6953,0.9746,0,0,9.4008,9,0,9,0,16.1085,16.5037,18.2239,1.863,1.4866,0,9,9,9,9.0598,0,0.0017,9,0,0,0.0812,0,0.0001,0,0,0.0017,9,0,0.0136,9,0,13.8232,0,0,9,0.0037,0,0,0,0,9,0,0,0,1.573,0,0.0044,9,2.0796,0.0208,9.6795,0,0,0.001,0,0,0,1.4278,0,0.0424,0,0,0.0732,1.2122,0,0.0047,0,0.6859,0.2547,6.0008,0,0,0,0.4346,0,0,0.3422,9,0,0,0,0,0,4.914,9,44.2297,0.1415,17.466,192.9286,1.2186,0,0.0945,0.0096,0,0.0628,9,0,0.542,9,0,9,1.3041,2.7198,9,0.2641,0.3777,0.8305,0,0.1515,9,9,0,0,0,9
"Panama",499.2875,11.6305,0.3623,2.0039,2.3874,1.2825,0.6198,15.8799,0.4496,0,0.1247,0.5677,0.0586,0,0,2.216,0.7865,17.6691,6.3358,54.1952,26.8399,10.511,0,121.9676,105.2192,0.0195,4.1496,3.4446,66.3978,108.0754,11.8114,26.9528,5.955,139.9922,19.5249,4.106,5.798,5.411,8.8078,0.6022,11.3434,0,0,107.7837,7.1986,0,5.6338,81.8471,3.3067,11.1674,0,0,0.4344,50.083,0,0.0009,9,0,0,0,0,0.355,12.2606,0.0596,4.609,0,1.3785,70.6,0.0419,0.645,0,0,7.919,0,9,0,30.6838,51.0727,28.3214,6.5524,1.4097,0,0,9,9,0,0,0.0008,0.0777,0,0.0565,3.1813,0,9,9,0,0.1785,0,0,0,0,0,0,0,0,0,0,9,9,0,9,0,0,0,0,0,0,0,0,4.7703,0,0,0,0,0.183,0,0,9,0.1121,0.1404,0,0,0,0,1.074,0,0,0.0287,0.0133,0.0115,12.0482,0.0109,0,0,0,9,0,0.2217,0,0,0,0,0,0,8.8878,0,28.178,0,240.9388,37.0686,0.5688,0,0.2816,0.1707,9.0026,0.2073,9.003,0,14.1362,0.0059,9.0072,0.009,0.5696,140.0555,0.0076,0.1746,1.8219,0.0251,0,3.2445,9,0,0,0,0,9.001
"Colombia",218.6221,59.8528,1.5927,19.3699,0.4336,42.9413,7.9817,32.9001,0.041,0.091,0.0978,2.3735,0.3072,3.881,0.1604,167.298,0.59,20.6578,15.336,7.416,5.116,77.6906,121.9676,0,451.7022,0.6579,1.8361,92.265,139.8782,378.3567,26.6451,0.5881,22.305,167.629,24.713,105.3279,1.75,21.2043,40.5384,2.7716,35.0217,0,0,141.0463,72.1135,0,47.1241,124.8945,14.92,18.7186,7.874,6.236,4.9167,97.8068,0,0.7307,3.4923,0.426,1.274,0,0,1.03,10.848,0.4883,5.761,0,21.062,9.602,0.1239,1.138,0.3167,1.3504,3.684,0.006,0.21,0,55.589,21.1007,22.1048,59.0262,0.0911,0,0.173,0,0,0.0292,0.16,0.6818,0.345,0.5565,0.144,0.316,0.1895,0.041,0.5194,0.037,0.5533,0.0374,0.0503,0.4812,3.3112,1.811,0,0.0461,0,0.06,0.169,0,0.008,0.008,0,0,0.06,0,0,0.015,0,0.0351,0,33.047,0,0,0.142,0.055,0.051,0.0033,0,0.293,9.877,5.309,0.04,2.1054,0.0162,0.339,13.685,0,1.3318,0.108,1.47,0.727,16.247,28.4995,1.8586,0.4523,0.0267,0.032,0.781,0,0.0609,9,9,9,0,0,28.528,0.018,67.582,16.2765,102.756,654.8328,1.6586,0.255,2.9708,0.03,0.1265,1.18,0.0014,0.003,1.3207,0,0.015,0.605,0.6943,0.3347,0.034,0.117,5.9864,0.859,0.083,1.7346,0.0121,0.4,0,0,0,0.261
"Venezuela",2791.9644,4.3804,0,127.3866,1.3211,201.0877,42.0519,217.8366,20.8285,0.4651,2.6211,1.6271,0.7167,0,0,13.4288,5.659,127.9416,11.2621,86.8601,91.9174,99.8672,105.2192,451.7022,0,0,118.0351,38.3258,32.2839,4.1349,4.7857,3.6487,59.7996,196.3809,1.5179,106.3002,6.9142,103.4395,114.2769,7.813,224.7414,0,0,83.0912,92.9255,0,17.02,113.3263,4.0618,11.4755,0.5706,0.5745,0.3414,498.7641,0,0.0008,0.0055,0,0,0,0,0.5006,3.2987,0.0041,3.476,0,3.3069,7.9,0.0085,9,0,0,1.133,0,9,0,10.3026,31.5461,9.5409,7.8632,0.1329,0,0,0,0,0,0,0.4495,0,0,0,16.4963,0,0.0218,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0.2516,0,0,0,0,0,0,0.0124,0,0,0,1.9634,0.85,3.4332,1.5477,0,0.2211,2.4089,0.3355,0.0662,0.2432,0.4147,0.5884,10.9251,2.8768,0,0.0033,0,0,0,0.0015,0,0,0,0.1,0,9,27.8273,0,71.0745,0.0385,51.511,539.2272,28.7848,0,0.4089,0.3369,0,4.09,0,0,5.1701,0,0,0.022,16.6435,21.0705,0,0.0463,1.2576,6.0185,0,32.4856,0,0,0,0,0,9
"Guyana",25.46,121.1339,0.0382,5.2111,0,0.132,1.5727,58.3652,3.4319,1.0057,1.2277,1.3375,0.9434,1.1289,0.3724,0.3157,0.0245,0,0,0.0138,0,0.0691,0.0195,0.6579,0,0,4.2059,0.232,0.2871,6.5758,0,0,2.436,0.0693,0,55.6442,0.1662,1.725,0.1778,0.0122,8.6502,0,0,0.1215,0.8219,0,1.1773,9.7056,0.0295,7.0755,0,0.0336,0.238,1.1505,0,0.009,0,0,0,0,0,0.075,0.109,0.002,2.3863,0,0.11,0,0.0252,9,0,0,9,0,0,0,5.4467,0.2423,0.0037,0.9541,0,0,0,0,0,0,9,0,0,9,0,0,0,9,0,0,0.091,9.0118,0,0.9629,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0.1568,0,0,0,0,0,0,0.0351,0.529,0,0.0168,0,0.0018,0,0,0,0.0103,0,0,0,0,0,0,0,0,0,0,0.0092,9,0,0,0,0,0,5.3487,0,3.5806,1.8357,3,77.7599,0.6274,0,0.7965,0,0,0,0,0,0.5179,0,0,0,0.1112,0,0,0,0.9538,0.5871,0.0017,1.421,0,0,0,0,0,0
"Suriname",358.4684,6.4035,4.9944,0,0,4.0297,2.1312,187.1046,0.0385,0,0,0.0419,0.0005,0,0,1.2235,0.0078,1.6403,0,0,0,0.312,4.1496,1.8361,118.0351,4.2059,0,0.454,0.0006,51.1967,0,0.0006,0.3602,0.0459,0.009,15.6055,0.1129,58.1121,7.7876,0.5324,29.9849,0,0,2.3855,6.0984,0,0.4911,18.3016,1.3684,0.0951,0,0.0695,0.1359,17.0235,0,0.0048,0.0235,0,9,0,0,0.156,0.118,0,0,0,0.0162,6.5734,0.0143,9,0,0,9,0,9,0,0.0265,0.2704,80.4546,0.479,0.0518,0,0,0,0,0,0,0,0,0,0,0,0.0012,9,0,9,0,0,0,0,0,0,0,0.009,9,0,0,0,0,0,0,0,0,0,0,9,0,0.0011,0,0,0,0,9,0,0,0,0,0,0,0.012,0,9,0,0,0.0398,9,0,9,0,0,0,0.1802,0,0,0,9.0258,0,0,0,0,0,0,0,0,1.837,9,2.2605,0,2.8605,5.3986,2.1196,9,0.0224,0,0,0,9,0,7.7544,9,0,0,0.1405,0.7782,9,0,0.6579,0.0695,0,0.0284,0,0,0,0,0,0
"Ecuador",752.738,80.8538,0.189,3.7737,0,1.442,0,5.4578,0.087,0,9.0033,0.0078,0.123,0,0,18.3267,0.007,15.2631,1.1,4.681,0.2,3.2999,3.4446,92.265,38.3258,0.232,0.454,0,117.7892,66.1296,4.6713,0.4171,81.002,22.082,5.474,7.6538,5.0841,27.772,16.6047,1.1353,32.9933,0,0,26.7142,6.1203,0,34.426,40.1064,25.961,18.5056,2.797,1.424,2.687,126.4426,0,0.5001,3.3,1.228,0,0,0,6.499,10.301,0.002,2.6043,0,2.857,0.295,0.0895,1.3327,0,0,9.402,0,9,0,6.2873,3.7711,6.3226,2.1962,0.0308,0,0,0,0,0,0,0.1429,0,0,0,0.0003,0,0.0178,0.156,0,0,0,0,0,0,9,0,0,9,9,0,9,9,9,9,0,0,0,0,9,0,0.1017,9,8.879,0,0,0,0,0.0005,0,0,0,0,14.598,1.844,0.8813,0,44.591,1.168,0,0.1224,0,0,0.3422,4.229,3.8035,0,0.1881,0,9,0,0,0,0,0,0,0,0,5.685,9,0,9,266.238,240.2259,0.572,9.121,0.1591,9.0513,0,0.112,0,9,0.0568,0,0,9,0.903,4.079,0,0.515,2.2962,1.2847,0,15.8177,9,9,0,0,0,0
"Peru",527.0281,11.7574,3.0976,0.924,0.0198,0,0.9713,0.0157,0.0961,0.7054,0.1098,0.0113,0,0.0165,0.0341,70.0469,0.006,13.1988,2.9508,3.4309,0.0427,2.2879,66.3978,139.8782,32.2839,0.2871,0.0006,117.7892,0,118.602,6.9506,12.606,135.4395,243.1754,39.6421,136.895,2.4094,52.3508,27.4811,1.8789,55.8913,0,0,43.8724,18.8783,0,0.7221,15.0251,4.1548,4.7173,6.3731,0,3.6168,95.6551,0,0.0954,0.0143,0,0,0,0,1.508,0.135,0.036,0.5456,0,0.1222,7.1,0.0201,0.2266,0,0,0.848,0,0,0,4.3295,42.9173,10.2827,7.0737,0.0695,0,0,6.0896,0,0,0.935,0.7481,0,0,0,0.0027,0.451,0.7238,0.0033,0.1122,0.2574,0,1.1502,0.5071,0.0143,0.0109,0.0033,0,0.1298,0,0,0,0,0,0,0,0,0,0,0,0,0.0565,0,7.4199,0,0,0.0055,0,0.3404,0,0.0428,0,1.7617,12.457,0.083,0,0,31.9885,7.1401,0.1155,0.0632,1.8411,1.5125,0.4145,7.2823,3.5664,0.0528,0.0121,0.0055,0,0.1467,0.0055,0,0,0,0,0,0,170.6329,0,77.3566,0,4.4676,45.684,6.5016,9,0.0805,0.1448,0,1.4304,0,0,17.1164,0.1749,0,30.9799,24.8518,11.4034,0,19.3064,12.3821,2.7094,0.0121,42.6142,0,0,0.022,0,0,0
"Brazil",740.458,153.8304,2.6972,9.8769,0.3454,73.6208,35.6268,23.1398,6.8262,1.0396,0.9214,2.5525,2.661,1.692,2.354,949.9666,1.766,50.3565,24.6593,24.3809,5.1428,112.201,108.0754,378.3567,4.1349,6.5758,51.1967,66.1296,118.602,0,129.0382,71.4505,542.1397,478.2471,157.4875,741.3552,14.4537,736.0081,55.0185,3.7616,673.1183,0,0,463.6725,574.4942,0,266.7726,28.3025,151.0657,76.6393,106.5606,22.0739,7.46,422.7383,0,3.3592,0.0833,1.871,10.2038,0,0,29.248,8.966,7.1253,0.1892,0.0626,46.8917,90.0961,3.3111,0.1364,0,2.8028,9.2828,0,3.531,13.7368,30.0217,83.9351,36.0367,112.5635,1.3813,0,0.0671,0.2024,0.0143,2.0779,52.4414,19.5641,6.0939,0.2552,0.8652,11.5827,24.5454,1.9719,19.5525,1.6511,46.6312,6.9377,15.7959,108.8835,7.568,0.2552,0.0132,1.1715,9.4611,0.5313,1.1026,0.8437,0.23,0.3839,3.2351,0.4015,3.544,9,7.8716,1.1,0.692,13.4558,0.5005,55.0873,1.842,0.052,3.19,2.2424,3.2889,0.1188,4.6453,0.425,93.0603,506.4431,35.4876,67.9613,2.31,30.689,136.0697,2.233,101.1498,52.8293,60.5066,52.8889,23.0125,1341.4178,63.5614,290.9346,46.0878,29.8126,24.1717,3.5249,0.0759,0.0605,0,0,6.7617,1.2903,675.1433,0,390.9275,17.0687,388.7081,1036.1977,41.6706,0,50.9301,17.9682,0.0011,5.3771,0.0007,0.4411,305.0081,0,0.283,15.135,193.6505,117.0938,0.058,197.1903,254.6355,29.0044,1.1495,23.3556,0.0154,0,0.772,0,0,0
